question,answer,category
"What is ""ENG 101: Use of English""?","A mandatory general education course focusing on academic writing, grammar, and communication skills.",Courses
"What is covered in ""MAT 101: Calculus I""?","An introductory mathematics course covering limits, derivatives, and basic integration techniques.",Courses
"What is ""ACC 101: Financial Accounting I""?","A foundational course for business students covering the accounting cycle and financial statements.",Courses
"What is taught in ""CSC 201: Data Structures""?","A core ICT course exploring how data is organized and manipulated within computer algorithms.",Courses
"What is ""LAW 101: Legal Methods""?","An introductory law course teaching students how to research, interpret, and apply legal statutes.",Courses
"What does ""POL 201: International Relations"" entail?","The study of global political systems, foreign policy, and the role of international organizations.",Courses
"What is ""BIO 111: General Biology""?","A survey course covering cellular biology, genetics, and the diversity of living organisms.",Courses
"What is the focus of ""ECO 101: Principles of Economics""?","An introduction to microeconomic and macroeconomic theories and market dynamics.",Courses
"What is ""JOUR 101: Introduction to Media""?","A survey of mass communication history, theory, and the impact of digital media on society.",Courses
"What is ""FRE 101: French for Beginners""?","An elective course providing basic conversational and grammatical skills in the French language.",Courses
"What is covered in ""PHY 112: Mechanics""?","A physics course focusing on motion, forces, energy, and the laws of gravitation.",Courses
"What is ""SOC 101: Introduction to Sociology""?","The study of social structures, institutions, and human social behavior within a global context.",Courses
"What is ""MGT 201: Principles of Management""?","A course exploring the functions of planning, organizing, leading, and controlling within organizations.",Courses
"What is taught in ""ICT 305: Cybersecurity""?","A specialized course on network security, encryption, and the prevention of digital threats.",Courses
"What is ""AGR 201: Crop Production""?","A foundational agriculture course focusing on soil management and the cultivation of major crops.",Courses
"What is ""PHC 301: Epidemiology""?","A public health course focused on the patterns, causes, and effects of health conditions in populations.",Courses
"What does ""HIS 202: African History"" cover?","A detailed look at pre-colonial, colonial, and post-colonial developments across the continent.",Courses
"What is ""EDU 101: Introduction to Pedagogy""?","A teacher-training course on the theories and methods of effective instruction.",Courses
"What is ""MKT 301: Consumer Behavior""?","An elective for marketing majors analyzing the psychology behind purchasing decisions.",Courses
"What is ""ARA 101: Arabic Language I""?","An introductory course focusing on reading, writing, and speaking the Arabic language.",Courses
"What is taught in ""CSC 301: Software Engineering""?","The study of the software development lifecycle, project management, and quality assurance.",Courses
"What is ""NUR 210: Anatomy and Physiology""?","A core nursing course detailing the structure and function of the human body systems.",Courses
"What is ""DEV 101: Development Theory""?","An interdisciplinary course examining various models and strategies for socio-economic development.",Courses
"What is ""FIN 302: Corporate Finance""?","A course focusing on capital budgeting, risk management, and long-term financial planning.",Courses
"What is covered in ""CHM 111: Inorganic Chemistry""?","The study of the properties and reactions of elements and inorganic compounds.",Courses
"What is ""PSY 101: Introduction to Psychology""?","A survey of human behavior, cognitive processes, and mental health fundamentals.",Courses
"What is ""MAT 202: Discrete Mathematics""?","A critical course for computer science covering logic, set theory, and graph theory.",Courses
"What is ""LAW 305: Criminal Law""?","A study of the principles of criminal liability and specific offenses under Gambian law.",Courses
"What is ""JOUR 205: News Writing""?","A practical course for journalism students focusing on reporting and drafting news articles.",Courses
"What is ""AGR 305: Soil Science""?","The study of soil formation, classification, and its role in agricultural productivity.",Courses
"What is ""PBA 201: Public Administration""?","A course exploring the structure and management of government agencies and civil service.",Courses
"What is taught in ""ICT 401: Artificial Intelligence""?","A 2026 senior module covering machine learning, neural networks, and expert systems.",Courses
"What is ""EDU 202: Educational Psychology""?","An analysis of how psychological factors influence learning and classroom management.",Courses
"What is ""ENG 205: African Literature""?","A survey of major literary works produced by writers from across the African continent.",Courses
"What is ""CHM 212: Organic Chemistry I""?","A course focusing on the structure, properties, and reactions of carbon-based compounds.",Courses
"What is ""PHY 221: Electromagnetism""?","The study of electric fields, magnetic fields, and their interaction with matter.",Courses
"What is ""REL 101: Islamic Jurisprudence""?","An introduction to the principles and applications of Sharia law.",Courses
"What is ""MGT 405: Strategic Management""?","A final-year course on long-term organizational planning and competitive analysis.",Courses
"What is ""CSC 101: Introduction to Computing""?","A general requirement course teaching basic hardware, software, and internet literacy.",Courses
"What is taught in ""NUR 305: Medical-Surgical Nursing""?","Advanced nursing care for patients with complex medical and surgical conditions.",Courses
"What is ""DEV 301: Gender and Development""?","A course examining the role of gender in socio-economic and political development.",Courses
"What is ""MAT 305: Linear Algebra""?","The study of vectors, matrices, and linear transformations with applications in engineering.",Courses
"What is ""LAW 202: Constitutional Law""?","An analysis of the structure of the Gambian government and fundamental human rights.",Courses
"What is ""JOUR 310: Photojournalism""?","A practical course on visual storytelling and the use of photography in news media.",Courses
"What is ""BIO 305: Genetics""?","The study of heredity, molecular genetics, and variation in biological organisms.",Courses
"What is ""AGR 410: Agribusiness Management""?","A course focused on the economic and business principles of the agricultural industry.",Courses
"What is ""PHC 205: Health Promotion""?","Techniques and strategies for encouraging healthy lifestyles within communities.",Courses
"What is taught in ""ICT 210: Database Management""?","An introduction to SQL, data modeling, and relational database systems.",Courses
"What is ""EDU 301: Curriculum Development""?","The process of designing, implementing, and evaluating educational programs.",Courses
"What is ""ACC 302: Cost Accounting""?","A course focusing on internal reporting, cost behavior, and budgeting for businesses.",Courses
"What is ""ECO 301: Macroeconomics II""?","Advanced study of national income, inflation, and fiscal policy dynamics.",Courses
"What is ""SOC 205: Social Research Methods""?","An introduction to qualitative and quantitative techniques for social investigation.",Courses
"What is ""ARA 202: Arabic Literature""?","A study of classical and modern literary works in the Arabic language.",Courses
"What is ""MKT 401: Digital Marketing""?","A modern module covering SEO, social media strategy, and online advertising.",Courses
"What is ""PHY 301: Quantum Mechanics""?","A theoretical physics course exploring the behavior of matter at the atomic level.",Courses
"What is ""BIO 210: Microbiology""?","The study of microscopic organisms, including bacteria, viruses, and fungi.",Courses
"What is ""LAW 401: Jurisprudence""?","The philosophical study of the theory and practice of law.",Courses
"What is ""JOUR 405: Media Law and Ethics""?","An examination of defamation, freedom of expression, and professional conduct codes.",Courses
"What is taught in ""CSC 410: Human-Computer Interaction""?","The design and evaluation of user interfaces and user experience (UX).",Courses
"What is ""AGR 101: Introduction to Forestry""?","A survey of forest management, conservation, and ecosystem services.",Courses
"What is ""PBA 305: Public Policy Analysis""?","Techniques for evaluating the formulation and impact of government policies.",Courses
"What is ""EDU 410: Educational Technology""?","The integration of digital tools and media into the teaching and learning process.",Courses
"What is ""ENG 310: Creative Writing""?","An elective course focusing on poetry, short stories, and dramatic scripts.",Courses
"What is ""CHM 305: Analytical Chemistry""?","Techniques for identifying and quantifying the chemical components of materials.",Courses
"What is ""PHY 405: Renewable Energy Systems""?","A 2026 module focusing on solar, wind, and bioenergy technologies.",Courses
"What is ""REL 201: Christian Ethics""?","An analysis of moral principles from a Christian theological perspective.",Courses
"What is ""MAT 401: Real Analysis""?","A rigorous study of the properties of real numbers and functions.",Courses
"What is taught in ""NUR 401: Community Health Nursing""?","Providing nursing care and health education in rural and urban community settings.",Courses
"What is ""DEV 402: Rural Development""?","Strategies for improving the quality of life and economic well-being of rural populations.",Courses
"What is ""FIN 401: Investment Analysis""?","The study of financial markets, stock valuation, and portfolio management.",Courses
"What is ""ACC 405: Auditing and Assurance""?","Principles of internal control and the examination of financial records.",Courses
"What is ""ECO 405: Econometrics""?","The application of statistical methods to economic data and models.",Courses
"What is ""SOC 410: Social Change and Modernization""?","An analysis of the forces that drive societal transformation and globalization.",Courses
"What is ""ARA 305: Business Arabic""?","Specialized language skills for professional communication in Arabic-speaking environments.",Courses
