question,answer,category
How many schools and faculties does UTG have in 2026?,"The university comprises 10 major academic units, including the Schools of Business, Education, Law, ICT, Medicine, and Arts & Sciences.",Schools
Which schools are located at the Faraba Banta Campus?,"As of 2026, the Schools of Business, Arts & Sciences, Education, ICT, Agriculture, and the Faculty of Law have all relocated to the unified Faraba Banta Campus.",Schools
What is the largest academic unit at UTG?,"The School of Business and Public Administration (SBPA) remains the largest, hosting nearly 30% of the total student population.",Schools
What departments are within the School of Business and Public Administration?,"It is organized into the Department of Economics and Finance and the Department of Management Sciences.",Schools
Does the School of ICT offer postgraduate degrees?,"Yes, the school offers Master of Science (MSc) programs in Information Technology and Information Systems.",Schools
Where is the School of Medicine and Allied Health Sciences located?,"While Lot 3 is being completed at Faraba, clinical training remains primarily based at the Edward Francis Small Teaching Hospital (EFSTH) in Banjul.",Schools
What is the focus of the School of Journalism and Digital Media?,"It offers B.A. and BSc degrees focusing on professional journalism, digital media production, and communication arts.",Schools
What are the two main divisions of the School of Arts and Sciences?,"It is divided into the Division of Humanities and Social Sciences and the Division of Physical and Natural Sciences.",Schools
Does the university have a dedicated "School of Engineering"?,"Yes, the School of Engineering and Architecture offers specialized programs like the Bachelor of Community Building and Design.",Schools
What is the role of the "School of Graduate Studies and Research"?,"It coordinates all Master’s and PhD programs across the university and oversees internal and external research grants.",Schools
Which school handles "Environmental Sciences"?,"The School of Agriculture and Environmental Sciences oversees programs in soil science, ecology, and climate-resilient agriculture.",Schools
What makes the "School of Education" at Faraba Banta unique in 2026?,"It is a fully modernized unit featuring smart classrooms and multimedia labs specifically for teacher training and curriculum development.",Schools
Is the "Faculty of Law" separate from the School of Arts and Sciences?,"Yes, the Faculty of Law is an independent academic body that provides the LLB, LLM, and specialized Para-Legal diplomas.",Schools
What is the "Division of Physical and Natural Sciences"?,"It is the wing of the School of Arts & Sciences that houses the departments of Mathematics, Physics, Biology, and Chemistry.",Schools
"Are there non-degree academic structures at UTG?","Yes, these include the University Foundation Year, the Center for African and Global Languages, and the Center for Islamic Knowledge.",Schools
What is the "Department of Economics and Finance"?,"A core department within the School of Business offering specialized degrees in Accountancy, Banking, and Islamic Finance.",Schools
Does the university have a "Department of Political Science"?,"Yes, it is a major department within the School of Arts and Sciences focusing on governance and international relations.",Schools
What is the "School of ICT" mission for 2026?,"To drive digital transformation in The Gambia by producing experts in Software Engineering, Cybersecurity, and Telecommunications.",Schools
How many departments are in the School of Education?,"It is structured into divisions for Science Education, Humanities/Social Science Education, and Agricultural Education.",Schools
Does UTG have an "Architecture" program?,"Yes, the School of Engineering and Architecture offers the unique Bachelor of Community Building and Design (BCBD) program.",Schools
