question,answer,category
What is the standard duration of an undergraduate degree?,Most undergraduate programs are designed to be completed in four academic years or eight semesters.,Academics
How is the academic year structured?,The academic year is divided into two main semesters: the first starts in September and the second in February.,Academics
What is the 'General Education Requirement' (GER)?,"A set of mandatory courses, including English and Math, that all students must pass to graduate.",Academics
How many credits are required for an LL.B. degree?,"Students must accumulate a minimum of 129 credit hours, including GERs and core law courses.",Academics
What is the minimum attendance required to sit for exams?,Students must attend at least 80% of lectures in a course to be eligible to receive credit and sit for the final exam.,Academics
What is the passing grade for undergraduate courses?,"While 'D' (40-49%) is a marginal pass, a grade of 'C' (50-59%) is often the required minimum for core major subjects.",Academics
How is the Cumulative Grade Point Average (CGPA) calculated?,"It is the total quality points earned divided by the total number of credit hours attempted across all semesters.",Academics
What happens if my CGPA falls below 2.0?,"Students with a CGPA below 2.0 receive a warning letter, and persistent low performance leads to academic probation.",Academics
What does 'Academic Probation' entail?,"Students on probation may be required to withdraw for one academic year or limit their course load until their CGPA improves.",Academics
How many credits constitute a 'Full-time' workload?,"Undergraduate students typically register for 15 to 18 credits per semester to maintain full-time status.",Academics
What is the 'Add/Drop' period?,"A two-week window at the start of each semester where students can modify their course registrations without penalty.",Academics
What is the 'Incomplete' (IC) grade policy?,"A temporary grade given when a student hasn't completed course requirements due to valid reasons; it turns to 'F' if not resolved in 90 days.",Academics
How are 'Quality Points' determined?,"By multiplying the numerical value of the grade (e.g., A=4.0) by the number of credit hours for that course.",Academics
What is the criteria for 'First Class' honors?,"A student must achieve a CGPA of at least 4.00 and have taken 75% of their coursework at UTG.",Academics
What is 'Summa Cum Laude' at UTG?,"The highest distinction, awarded for a Cumulative Quality Point Average (CQPA) between 4.000 and 4.300.",Academics
What are the dates for the 2025/2026 first semester?,"The semester runs from September 1, 2025, to January 10, 2026.",Academics
When do lectures typically end for the first semester?,"For the 2025/2026 session, lectures concluded on November 29, 2025.",Academics
How long is the revision week before exams?,Students are typically granted one week of revision following the end of lectures and before the examination period begins.,Academics
What is the 'Senate' in the academic context?,"The supreme academic body that approves curricula, exam results, and the conferral of degrees.",Academics
What is a 'Continuous Assessment Test' (CAT)?,"Mid-semester evaluations, such as quizzes or assignments, that contribute to the final grade.",Academics
Can students take an 'Overload' of credits?,"Students with a high CGPA may apply for an overload (exceeding 18 credits) with approval from their Dean.",Academics
What is the role of an 'External Examiner'?,"A subject expert from another university who reviews exam questions and scripts to ensure international standards.",Academics
How is a Master's degree thesis evaluated?,"The thesis must be successfully defended in a 'viva voce' (oral defense) before a panel of examiners.",Academics
What is the duration of a full-time Master's program?,"Master's programs typically last four semesters (two academic years).",Academics
What is the minimum CGPA to apply for a Master's program?,"Applicants generally need a minimum undergraduate CGPA of 3.00 from a recognized university.",Academics
What is 'Academic Integrity'?,The commitment to honest academic work; plagiarism and cheating carry severe penalties including expulsion.,Academics
How do I apply for a 'Change of Major'?,"Students must submit a formal request to the Registrar's Office after completing their first year, subject to departmental approval.",Academics
What is a 'Prerequisite' course?,"A course that must be successfully completed before a student is allowed to register for a more advanced module.",Academics
What is the 'Credit Hour' system?,"A measure of the workload for a course, where 1 credit usually represents 1 hour of lecture per week.",Academics
Does UTG have a 'Summer Session'?,"Yes, an optional accelerated session held between July and August for students to catch up or get ahead.",Academics
What is the penalty for late assignment submission?,"A minimum penalty of 5% per day is typically applied, and assignments over a week late may be rejected.",Academics
What are 'Core Courses'?,Mandatory modules within a specific major that must be passed to satisfy degree requirements.,Academics
What is the 'Academic Calendar'?,"The official document listing all important dates including registration, holidays, exams, and graduation.",Academics
What is the difference between GPA and CGPA?,"GPA is for a single semester, while CGPA represents the average of all semesters completed to date.",Academics
What is a 'Course Syllabus'?,"A document provided by lecturers detailing course objectives, reading lists, and assessment methods.",Academics
Who is my 'Academic Advisor'?,A faculty member assigned to guide students on course selection and career paths within their department.,Academics
