question,category
What facilities can students find at the Banjul Campus?,Facilities
What is the required CGPA to progress to the next academic level?,Academics
Is there a gym or sports facility available at UTG?,Facilities
Does UTG offer undergraduate studies in Nursing?,Programs
What does the term "Matriculation Number" refer to?,Admission
What happens if a student's CGPA drops below 2.0?,Academics
What resources can students access through the university library's digital systems?,Facilities
What is the legal framework governing the University of The Gambia?,General
Does UTG have accommodation available for students at Faraba Banta?,Facilities
What grade range qualifies for an 'A'?,Academics
Is there a clinic available for students on campus?,Facilities
Where is the administrative headquarters of UTG situated?,General
Can applicants modify their chosen major before the deadline?,Admission
What are the key areas covered in the BSc Information Systems program?,Programs
Which banks are authorized for paying UTG fees?,Fees
What fee must applicants pay for undergraduate admission in 2026?,Fees
What amount must be paid before a student can register for courses?,Fees
How is Continuous Assessment (CA) typically organized?,Academics
Is UTG classified as a public institution or a private one?,General
What penalty applies if assignments are submitted late?,Academics
What is the central purpose of the University Governing Council?,General
Does UTG provide a prospectus for prospective applicants?,Admission
What is the total number of academic schools currently operating at UTG?,General
What is the structure of the Add/Drop period?,Academics
What academic programs are available in Computer Science specialization?,Programs
How many reference letters are required for graduate school applications?,Admission
Is there a possibility to apply to UTG using a proxy?,Admission
What amount must be paid for transcript requests in 2026?,Fees
What is the main characteristic of the Faraba Banta Campus?,Facilities
Are lecture rooms at the Faraba Banta campus equipped with air conditioning?,Facilities
What is the Mission statement of the University of The Gambia?,General
Is there an installment payment option for university fees?,Fees
Does UTG provide laboratory facilities for ICT students?,Facilities
Where can students locate the Student Union office?,Facilities
What is the requirement for admission into the MSc International Relations program?,Admission
What academic distinction is known as "Summa cum laude"?,Academics
What is the tuition cost for students in the School of Education?,Fees
What does the Access Programme aim to achieve?,Programs
What are the entry requirements for the Diploma in Data Science?,Admission
What is the meaning of academic probation?,Academics
Does UTG offer a Master's degree in Information Technology?,Programs
What minimum attendance percentage is required for classes?,Academics
How much must be paid for result verification per subject?,Fees
What is the Peace Garden located at Faraba Banta?,Facilities
Does UTG provide a degree program in Journalism?,Programs
What happens when a student does not meet the 80% attendance requirement?,Academics
What is the focus area of the Master's program in International Relations?,Programs
Does UTG allow payment of fees through credit cards?,Fees
What is the current vision statement of UTG?,General
What is the official motto used by the University of The Gambia?,General
Is a Diploma in Cyber Security offered at UTG?,Programs
What are the required non-tuition fees students must pay annually?,Fees
What are the main campuses operated by UTG?,General
What is the standard percentage weight assigned to final exams?,Academics
Is there an annual fee required for verifying academic results?,Admission
What programs are available for students interested in Artificial Intelligence?,Programs
Who currently holds the position of Vice Chancellor at UTG?,General
Are international postgraduate students required to make payments in USD?,Admission
Can students pursue studies in Agriculture at UTG?,Programs
Does UTG admit new students during the summer term?,Admission
What is the purpose of the Admissions Board?,Admission
What is the annual tuition cost for students in the School of Arts and Sciences?,Fees
What is the role of the Chancellor of the University?,General
What does the School of Medicine and Allied Health Sciences represent?,General
Are there penalties applied for registering after the deadline?,Fees
What is the duration of the Bachelor of Laws (LLB) program?,Programs
