question,answer,category
What is the first step for registration after receiving an admission letter?,"Newly admitted students must first pay their tuition and mandatory levies at a designated bank (Trust Bank, GTBank, or EcoBank).",Registration
How do I access the UTG registration portal?,"You can access the portal via www.utg.gm by clicking on the 'Portal' link and signing in with your university email or matriculation number.",Registration
What is the minimum payment required to begin course registration?,"Students must pay at least 40% of their total semester fees to be granted access to the portal for course enrollment.",Registration
How do I obtain my official UTG email address?,"New students can set up their official email by following the 'New Students Setup' guide on the university website under the IT section.",Registration
"Can I register for courses before paying fees?",No course registration is only enabled on the portal after the Finance Office has verified your payment receipts.,Registration
What is the 'Add/Drop' period?,"A designated two-week period at the start of the semester where students can change their course selections without penalty.",Registration
How do I know which courses to register for?,"Students should consult their Departmental Course Handbook or speak with their Academic Adviser for the list of required modules.",Registration
What happens if I miss the registration deadline?,"Students who fail to register within the official period may be charged a late registration fine or be asked to defer their semester.",Registration
How do I confirm my registration is successful?,"After selecting your courses, you must click 'Submit' and print the 'Registration Slip' as proof of your enrollment.",Registration
"Can I register for more than the maximum credit load?","Overloading (taking more than 21 credits) requires special approval from the Dean of the School, usually reserved for final-year students.",Registration
What is the 'Pin Code' used for during registration?,"For new applicants, the pin code received via SMS after bank payment is required to access and submit the initial registration forms.",Registration
How do I register if I am on a government scholarship?,"Scholarship students must present their award letter to the Accounts Office at the Kanifing Campus to be cleared for registration.",Registration
Where do I go if the portal says my matriculation number is invalid?,"You should visit the ICT Unit at the Kanifing Campus or email helpdesk@utg.edu.gm for account verification.",Registration
What is 'Financial Clearance' in the registration process?,"It is the status updated on your portal after the Accounts Office reconciles your bank deposit with your student account.",Registration
"Can I change my major during registration?","Changing majors requires a formal application to the Registrar’s Office and is usually not allowed after the registration period ends.",Registration
How many credits are required for full-time status?,"Undergraduate students are generally required to register for a minimum of 15 credits per semester to be considered full-time.",Registration
What is the procedure for 'Deferment' of registration?,"Students wishing to postpone their studies must apply for deferment through the Registrar’s Office before the registration deadline.",Registration
Do returning students need to pay for a new ID card during registration?,No the initial ID card is valid for the duration of the program; only lost or damaged cards require a replacement fee.,Registration
What documents must be uploaded for the final registration step?,"Scanned copies of your bank receipts, O'Level results, and a passport-sized photograph must be uploaded to the portal.",Registration
How do I register for 'Resit' examinations?,"Resit registration is handled during a specific window via the 'Examination' tab on the portal, subject to a per-course fee.",Registration
What is the 'Registration Slip' used for?,"The slip is required for entry into lecture halls and is a prerequisite for receiving your examination permit.",Registration
Does the registration fee include the Student Union dues?,"Yes, the mandatory levies (Union, Development, Technology) are bundled into the total amount paid during registration.",Registration
How do I update my contact information on the portal?,"Once logged in, you can update your phone number and emergency contact details under the 'Profile' section.",Registration
"Can international students register online from their home country?","Yes, as long as the international fee payment is confirmed, registration can be completed remotely through the portal.",Registration
What should I do if a required course is full?,"You must contact your Departmental Head or the Registrar's Office to request a manual override or to be placed on a waiting list.",Registration
How is 'Course Pre-requisite' handled during registration?,"The portal automatically blocks students from registering for advanced courses if the introductory module has not been passed.",Registration
Is orientation mandatory for registration?,"While not a technical step on the portal, attending orientation is required for all new students to receive their registration guides.",Registration
How do I register for a 'Summer Session'?,"Summer registration is a separate process on the portal, usually occurring in July, with fees charged per credit hour.",Registration
What is the 'Finance Tab' on the portal used for?,"It allows students to view their payment history, outstanding balance, and generate invoices for bank payments.",Registration
Where can I get help with portal technical issues?,"The ICT Helpdesk is located at the Kanifing Campus, and technical guides are available on the university's official YouTube channel.",Registration
What is "Self-Registration" for 2026?,"Starting in 2026, all students must personally select and submit their course modules through the portal without manual department intervention.",Registration
What should I do if the portal says "Payment Not Found"?,"Wait 48 hours for bank-to-portal synchronization. If it persists, take your bank receipt to the Finance Office in Kanifing for manual verification.",Registration
How do I resolve a "Prerequisite Not Met" error?,"You must ensure you have passed the foundational course first. If you did and the error remains, contact the Registrar’s office with your transcript.",Registration
Can I register for courses from two different schools?,"Cross-faculty registration is allowed for electives, provided there are no scheduling conflicts and the Dean of both schools approves.",Registration
