question,answer,category
What is the primary feature of the Faraba Banta Campus?,"The Faraba Banta Campus is a modern, purpose-built facility designed to house the majority of UTG’s schools, featuring advanced lecture theaters and research labs.",Facilities
Where is the Alieu Badara Joof Library located?,The central university library is located at the Faraba Banta Campus and serves as the hub for all physical and digital research materials.,Facilities
Does UTG have specialized laboratories for the School of ICT?,"Yes, the School of ICT has multiple dedicated computer labs equipped with high-speed internet and modern software for programming and networking.",Facilities
What facilities are available at the Banjul Campus?,The Banjul Campus primarily houses the School of Medicine and Allied Health Sciences due to its proximity to the Edward Francis Small Teaching Hospital.,Facilities
Is there a Moot Court at the university?,Yes the Faculty of Law features a dedicated Moot Court facility at the Kanifing Campus for students to practice legal arguments and trial simulations.,Facilities
Are there hostel facilities for students at Faraba Banta?,"Yes, the university has completed modern residential blocks at the Faraba Banta Campus to accommodate students from across the country.",Facilities
What is the "Peace Garden" at Faraba Banta?,"It is a landscaped outdoor space designed for students to study, relax, and engage in social discussions in a quiet environment.",Facilities
Where is the School of Agriculture and Environmental Sciences located?,This school operates out of both the Brikama and Faraba Banta campuses to utilize the available research farmlands and laboratories.,Facilities
Does the university have a gymnasium or sports complex?,"UTG provides outdoor sports fields for football and basketball, with plans for a centralized indoor sports complex at the new flagship campus.",Facilities
What digital resources are available in the library?,"Students have access to international databases like JSTOR, Research4Life, and the Koha integrated library system for e-books and journals.",Facilities
Is there a clinic on campus?,"Yes, UTG maintains a university clinic at the Kanifing and Faraba Banta campuses to provide basic healthcare services to students and staff.",Facilities
Are the lecture halls at Faraba Banta air-conditioned?,Most of the new large-capacity auditoriums and lecture theaters at the Faraba Banta Campus are equipped with air conditioning for comfort.,Facilities
Where can I find the Student Union office?,The Student Union (UTGSU) has administrative offices located at both the Kanifing and Faraba Banta campuses.,Facilities
Does UTG have a cafeteria?,"Yes, there are designated cafeteria and canteen areas across all major campuses providing affordable meals to the university community.",Facilities
What is the "Gold Standard" validation facility?,"It is a methodological framework and specialized lab space used for high-level data validation in social and scientific research.",Facilities
Are there facilities for students with disabilities?,"The new buildings at Faraba Banta are designed with ramps and elevators to ensure accessibility for students with physical disabilities.",Facilities
Where is the School of Graduate Studies office?,"The administrative office for the School of Graduate Studies and Research is located within the administration block at the Kanifing Campus.",Facilities
Does the university have high-speed Wi-Fi?,"Yes, through the 'Technology Fee', the university provides managed Wi-Fi access across all academic and residential areas.",Facilities
What research centers are hosted within UTG facilities?,"UTG hosts centers such as the Centre for Transitional Justice, WASCAL, and the Centre for Sustainable Development.",Facilities
Are there prayer facilities on campus?,"Yes, mosques and designated prayer areas are available at all university campuses to cater to the spiritual needs of the community.",Facilities
Does the university have a dedicated auditorium for graduations?,"Yes, the Faraba Banta Campus features a large-capacity multi-purpose auditorium used for matriculations and convocation ceremonies.",Facilities
Where is the "Digital Lab" located?,"The Digital Lab, focusing on multimedia and content creation, is housed within the School of Journalism at the Kanifing Campus.",Facilities
Is there a bus service between the different campuses?,"The university operates a shuttle bus system to facilitate movement for staff and students between Kanifing, Brikama, and Faraba Banta.",Facilities
What are the "Science Parks" at UTG?,"They are designated areas for collaborative research between the university and private sector partners, focusing on innovation.",Facilities
Does the university have a faculty lounge?,"Yes, there are dedicated staff common rooms and lounges in the main administrative blocks for faculty members.",Facilities
Where are the chemistry and physics labs?,The primary laboratories for the School of Arts and Sciences are located at the Brikama and Faraba Banta campuses.,Facilities
Does the School of Medicine have its own library?,Yes the School of Medicine in Banjul has a specialized medical library with resources focused on health and clinical sciences.,Facilities
Are there outdoor study huts?,"Yes, traditional-style 'Peace Huts' are provided across the campuses to serve as shaded study and meeting spots for students.",Facilities
What is the "Lot 1" infrastructure?,"It refers to the first major phase of the Faraba Banta project, which includes the library, administration, and several school buildings.",Facilities
Is there a security office on campus?,"Yes, the UTG Security Unit maintains a 24-hour presence with offices at the main entrance of every campus.",Facilities
Where can I park my car on campus?,"Designated parking lots are available at all campuses for staff, students, and visitors, managed by campus security.",Facilities
Does the university have a printing and photocopying center?,"Yes, business centers offering printing, photocopying, and binding services are available at the Kanifing and Brikama campuses.",Facilities
What is the "Koha" catalog?,"It is the library's online public access catalog (OPAC) that allows students to search for books and resources from any device.",Facilities
Where is the School of Business and Public Administration (SBPA) located?,The SBPA has its primary lecture and administrative facilities at the Faraba Banta Campus.,Facilities
Does UTG have an ICT innovation hub?,"Yes, the university supports an innovation hub where students can work on tech startups and software development projects.",Facilities
Are there specialized labs for nursing students?,Yes the School of Nursing utilizes clinical simulation labs to provide students with hands-on training before hospital placements.,Facilities
Where is the university's main server room?,"The central ICT infrastructure and server room are located at the Kanifing Campus, with a secondary hub at Faraba Banta.",Facilities
Is there a guest house for visiting researchers?,"UTG maintains limited residential units for visiting international scholars and exchange professors at the Faraba Banta site.",Facilities
What are the "SMART" classrooms?,"They are modern classrooms equipped with digital projectors, interactive boards, and audio-visual tools to enhance learning.",Facilities
Does the university have an archive?,Yes the University Archive preserves historical records and institutional documents and is managed by the Library Directorate.,Facilities
Where is the "Language Lab" located?,"The School of Arts and Sciences operates a language lab for students studying French, Arabic, and linguistics in Kanifing."",Facilities
Are there facilities for indoor games?,"Recreational areas for games like table tennis and chess are available within the Student Union buildings.",Facilities
What is the "University Chancery"?,"It is the formal administrative building at Faraba Banta housing the offices of the Vice Chancellor and Registrar.",Facilities
Does the university have a radio station?,"The School of Journalism maintains a broadcast studio used for training and campus-wide information dissemination.",Facilities
Where are the student residential halls located?,The primary on-campus student housing is currently situated at the Faraba Banta Campus.,Facilities
Is there a bookstore on campus?,"While there isn't a centralized bookstore, the university library and various department offices facilitate access to textbooks.",Facilities
Does UTG have a center for climate research?,"Yes, the WASCAL facility at UTG is a specialized research center focused on climate change and land use.",Facilities
Where can students get their university ID cards?,ID card capturing and issuance are handled by the ICT Unit located at the Kanifing Campus.,Facilities
Are the labs equipped for deep learning research?,"Yes, specific labs in the School of ICT are being upgraded with hardware suitable for AI and deep learning applications.",Facilities
Does the university have a central warehouse?,"The Estates and Procurement departments manage a central storage facility for university property and supplies.",Facilities
What is the "Faraba Banta Master Plan"?,It is the comprehensive architectural blueprint guiding the phased development of the university’s permanent home.,Facilities
Are there bike racks on campus?,The new Faraba Banta campus includes designated spots for bicycle parking to encourage eco-friendly commuting.,Facilities
Where is the "Directorate of Research" office?,"The office coordinating all research activities is located within the administration block at the Kanifing Campus.",Facilities
Does the university have water treatment facilities?,"The Faraba Banta Campus is equipped with its own water borehole and treatment system to ensure a steady supply.",Facilities
What power backups are available on campus?,"UTG utilizes a combination of standby generators and solar energy systems to mitigate power outages in lecture halls and labs.",Facilities
Where is the Faculty of Law administration?,"The administrative offices for the Faculty of Law are located at the Kanifing Campus, adjacent to MDI.",Facilities
Is there an "American Corner" at UTG?,"Yes, a resource center partnered with the US Embassy is located at the university library to provide students with research tools.",Facilities
Does the university have a hall for indoor conferences?,"Yes, the 'Chamber' and several seminar rooms at the various schools are available for academic conferences.",Facilities
Where is the School of Education located?,"The School of Education has long-standing facilities in Brikama, with new offices and classrooms at Faraba Banta.",Facilities
Are there first-aid kits in the laboratories?,Yes all science and ICT laboratories are required to be equipped with basic first-aid kits for emergency use.,Facilities
What is the capacity of the main auditorium?,"The main auditorium at Faraba Banta can accommodate over 1,500 people for major university events.",Facilities
Does the university provide lockers for students?,"Limited locker facilities are available in specific schools, particularly for students in the sciences and law.",Facilities
Where is the "Accounts Office" for fee payments?,"The main student finance and accounts office is located at the Kanifing Campus.",Facilities
Does the university have a farm for research?,"Yes, the School of Agriculture manages research plots and livestock facilities for practical training and data collection.",Facilities
What is the "Digital Transformation" hub?,"It is a dedicated space for the ICT unit to manage the university’s portal and e-learning systems.",Facilities
Are there benches for outdoor studying?,"Yes, benches and shaded seating areas are integrated into the campus landscaping across all locations.",Facilities
Does the university have a maintenance department?,"The Estates Department is responsible for the maintenance and repair of all university buildings and facilities.",Facilities
Where is the Office of the Dean of Students?,"The Dean of Students' office is centrally located at the Kanifing Campus to manage student welfare and affairs.",Facilities
Is there an ATM on campus?,"UTG works with partner banks like Trust Bank to provide ATM services at or near the major campus entrances.",Facilities
Does the university have a weather station?,The School of Agriculture and Environmental Sciences maintains a small-scale weather station for climatic data collection.,Facilities
Where are the results notice boards located?,"Each school maintains its own notice boards at the Kanifing, Brikama, and Faraba Banta campuses for official announcements.",Facilities
Is there a facility for video conferencing?,"Yes, the university has equipped several boardrooms with video conferencing tools for international collaborations.",Facilities
Does the university have a swimming pool?,No the university currently does not have a swimming pool on any of its campuses.,Facilities
What is the "Lot 2" development?,"Lot 2 refers to the ongoing second phase of construction at Faraba Banta, adding more school buildings and amenities.",Facilities
Where is the university relations office?,"The Directorate of University Relations and Communications is located at the Kanifing administrative block.",Facilities
Does the university have a laboratory for civil engineering?,"UTG is expanding its facilities to include labs for the emerging engineering and technical programs.",Facilities
Are there shared labs for postgraduate students?,"Yes, specialized research rooms are reserved for Master's and PhD students within the Alieu Badara Joof Library.",Facilities
Does the university have a "Career Center"?,"Career guidance services are integrated into the Dean of Students' office and the various faculty buildings.",Facilities
Where can I find the academic calendar on campus?,"The official academic calendar is posted on the university website and all major departmental notice boards.",Facilities
Is there a lost and found office?,"Items lost on campus are usually turned into the Security Unit at the main entrance of the respective campus.",Facilities
Does the university have a facility for traditional arts?,The School of Arts and Sciences supports research into traditional Gambian culture and heritage.,Facilities
Where is the ICT helpdesk located?,"The ICT helpdesk is situated in the main computer lab block at the Kanifing Campus.",Facilities
Are there solar panels on campus?,"Yes, the Faraba Banta Campus utilizes solar energy for street lighting and as a backup for specific buildings.",Facilities
Does the university have an official guesthouse in Banjul?,UTG primarily uses its Faraba Banta facilities for housing visiting staff.,Facilities
Where are the nursing clinical logbooks issued?,"These are issued through the School of Medicine and Allied Health Sciences office in Banjul.",Facilities
Is there a facility for "Mooting" in Banjul?,While the main Moot Court is in Kanifing, the Law School often utilizes courtrooms in Banjul for practical sessions.,Facilities
Does the university have a waste management system?,"Yes, the Estates department coordinates regular waste collection and disposal across all university sites.",Facilities
Where is the university's "Think Tank" based?,"The policy research unit is primarily based at the Kanifing Campus to be close to government administrative centers.",Facilities
Are there restrooms available for public use?,"Yes, all academic and administrative buildings are equipped with restroom facilities for students, staff, and visitors.",Facilities
Where is the "Matriculation Hall"?,The university uses the main auditoriums or the open plazas at Faraba Banta for matriculation ceremonies.,Facilities
Does the university have a printing press?,"UTG currently utilizes external partners for high-volume printing, though a student-led press unit exists for training.",Facilities
