question,answer,category
What is the University of The Gambia?,The University of The Gambia (UTG) is the premier public institution of higher learning in The Gambia established to provide quality education and research.,General
When was UTG established?,The University of The Gambia was established by an Act of the National Assembly of The Gambia in March 1999.,General
What is the official motto of UTG?,"The motto of the University of The Gambia is ""Knowledge, Truth and Development"".",General
Where is the main administrative headquarters of UTG located?,The main administration is located at the Kanifing Campus on MDI Road in Kanifing.,General
What is the Vision of UTG?,The vision is to be the powerhouse for the transformation of The Gambia through the creation application and transfer of knowledge.,General
What is the Mission of UTG?,UTG is committed to advancing equitable and sustainable socio-economic development through high-quality teaching research and outreach.,General
Who is the current Vice Chancellor of UTG?,As of recent records Professor Herbert Robinson serves as the Vice Chancellor of the University.,General
What are the main campuses of UTG?,The university operates across several sites including Kanifing Campus Faraba Banta Campus Banjul Campus and Brikama.,General
Is UTG a public or private university?,UTG is a public national university.,General
What is the Faraba Banta Campus?,It is the newly developed main campus of the university designed to consolidate various schools into a state-of-the-art facility.,General
What are the general entry requirements for undergraduate programs?,Applicants usually need a minimum of 5 credits in WASSCE/GCE O' Levels including English and Mathematics in not more than two sittings.,General
How do I apply for admission to UTG?,Prospective students must apply online through the UTG portal (www.utg.edu.gm) during the advertised application periods.,General
Can international students apply to UTG?,Yes UTG welcomes students from across the globe particularly from the West African sub-region.,General
What is the application fee for undergraduate programs for Gambians?,The application fee is typically around D500 to D1100 depending on the specific semester's call for applications.,General
Does UTG offer postgraduate programs?,Yes UTG offers various Master's and PhD programs through the School of Graduate Studies and Research.,General
What is the "Mature Candidate" entry route?,It is an admission route for applicants aged 30 or above with relevant work experience and fewer than 5 credits.,General
Which bank handles UTG application payments?,Payments are typically made at Trust Bank EcoBank or GTBank branches nationwide.,General
What is the UTG Student Portal?,It is an online platform where students can register for courses check grades and manage their academic records.,General
How many schools/faculties does UTG have?,UTG has approximately 10 schools including Arts & Sciences Business Education Law Medicine ICT and Agriculture.,General
What is the School of Medicine and Allied Health Sciences (SMAHS)?,It is the faculty responsible for training medical doctors nurses and public health professionals located in Banjul.,General
Does UTG have a School of Journalism?,Yes the School of Journalism and Digital Media offers programs in journalism and media studies.,General
What programs are offered by the School of ICT?,The School of ICT offers degrees in Computer Science Information Systems Software Engineering and Telecommunications.,General
Can I transfer from another university to UTG?,Yes transfer students are welcome subject to transcript evaluation by the relevant Dean and Registrar.,General
What is the duration of a standard undergraduate degree?,Most bachelor's degree programs at UTG last for four academic years (eight semesters).,General
Does UTG offer distance learning?,Yes UTG has been expanding its capacity to offer distance learning and access programs.,General
What is the role of the University Senate?,The Senate is the organ responsible for the governance of the university's academic affairs and policies.,General
Who governs the University of The Gambia?,The University is governed by a Governing Council which oversees its activities and management.,General
What documents are needed for an application?,Typically a valid ID (Birth certificate/Passport) WASSCE results a passport photo and bank payment receipts.,General
How are students notified of their admission status?,Successful candidates receive SMS alerts and admission letters via the email address provided during application.,General
Is there a student union at UTG?,Yes the University of The Gambia Students' Union (UTGSU) represents the interests of the student body.,General
What is the Alieu Badara Joof Library?,It is the main library facility located at the Faraba Banta campus named after the late former Vice President of The Gambia.,General
Are there research centers at UTG?,Yes UTG has centers like the Centre for Transitional Justice and the Centre for Sustainable Development.,General
What is the "Access Programme" at UTG?,It is a remedial program designed to help students improve their grades to meet university entry requirements.,General
What are the fees for international students?,International fees are generally quoted in US Dollars and are higher than the subsidized rates for Gambian citizens.,General
What is the grading system used by UTG?,UTG typically uses a 4.0 or 4.3 CGPA scale similar to the North American system.,General
Does UTG offer scholarships?,The university often collaborates with the Gambia Government and external partners like MRC to offer various scholarships.,General
What is the language of instruction at UTG?,English is the official language of instruction for all programs at the University of The Gambia.,General
Can I pay my tuition fees in installments?,Yes UTG usually allows students to pay fees in installments with a required minimum percentage (e.g. 40%) before exams.,General
What is the School of Business and Public Administration?,It is one of the largest schools at UTG offering degrees in Accountancy Economics Management and Public Administration.,General
Where is the School of Education located?,The School of Education is now primarily located at the Faraba Banta Campus.,General
