question,answer,category
What is the requirement for the Diploma in Data Science?,"Applicants usually need a minimum of three credits, including Mathematics.",Admission
Is there an application fee for the Access Programme?,Yes the application fee for the Access Programme is typically the same as the undergraduate fee.,Admission
Does UTG provide a prospectus for new applicants?,"Yes, a digital prospectus detailing all programs and requirements is available on the university website.",Admission
What is the "Matriculation Number"?,"It is a unique identifier assigned to every student upon completion of the admission and registration process.",Admission
Can I change my choice of major before the application deadline?,"Yes, if the application has not been formally submitted, you can modify your choices on the portal.",Admission
What should I do if my bank payment does not reflect on the portal?,"You must present your bank teller to the Accounts Office at the Kanifing Campus to manually verify the transaction.",Admission
Does UTG offer any partial admission for students with only four credits?,"No, students with fewer than five credits are typically referred to the Access Programme.",Admission
Is the result verification fee paid annually?,"No, it is a one-time fee paid during the application or initial registration phase.",Admission
What is the requirement for the MSc in International Relations?,"A first degree in a related field (Political Science, Law, History) with a minimum CGPA of 3.00.",Admission
Are international Master's students required to pay in USD?,"Yes, all fees for international students, including application fees, are quoted and payable in USD.",Admission
What is the "Admissions Board"?,"It is the committee responsible for setting the selection criteria and approving the final list of admitted students.",Admission
Can I apply for admission through a proxy?,"The application is online and must be filled out by the candidate; however, bank payments can be made by anyone on your behalf.",Admission
What is the "Credit Transfer" policy?,"Students coming from other recognized universities can have their previous credits evaluated for exemption from certain courses.",Admission
Does the university admit students in the summer session?,"No, the summer session is primarily for existing students; new students are only admitted in the first and second semesters.",Admission
How many copies of the reference letters are needed for graduate school?,Usually two signed letters must be uploaded to the portal as part of the application packet.,Admission
"What is the ""Admissions Office"" address?",The Admissions Office is located within the Administration Block at the Kanifing Campus on MDI Road.,Admission
Can I apply for a program that is not listed on the portal?,"No, only programs currently open for intake will be visible in the dropdown menu on the application form.",Admission
Does UTG accept the SAT or ACT for international student admission?,"International results are evaluated on a case-by-case basis, but standard high school leaving certificates (like WASSCE) are preferred.",Admission
What is the requirement for the Diploma in Cyber Security?,A minimum of three WASSCE credits including English or Mathematics.,Admission
Can I apply for a Master's degree if I am currently in my final year of Bachelor's?,"Yes, you can apply for ""pending graduation"" status, provided you submit your final transcript before the start of the program.",Admission
What is the "Selection List"?,"It is the official list of candidates who have been offered admission, usually published on the university notice boards and portal.",Admission
