question,answer,category
"What is the ""Lot 1"" infrastructure in Faraba?","It consists of the first four academic buildings housing the Schools of Business, ICT, Education, and Arts & Sciences.",Facilities
"Where is the ""Alieu Badara Joof"" Library?","This state-of-the-art central library is located at the heart of the Faraba Banta Campus.",Facilities
"Does the university have a dedicated ""Digital Lab""?","Yes, a specialized multimedia and content creation lab is located within the School of Journalism in Kanifing.",Facilities
"Where is the ""Chancery"" building?","The Chancery is the administrative headquarters of the university, located at the Faraba Banta Campus Lot 2.",Facilities
"Are there on-campus dormitories at Faraba Banta?","Yes, the 2026 expansion includes modern residential halls for both local and international students.",Facilities
"What is the ""University Auditorium"" capacity?","The multi-purpose auditorium at Faraba Banta can host over 1,500 people for major ceremonies.",Facilities
"Where are the physics and chemistry labs?","The primary natural science laboratories are located in the Science Complex at Faraba Banta Lot 1.",Facilities
"Does UTG have a medical library?","Yes, a specialized medical and clinical resource library is located at the Banjul Campus near the hospital.",Facilities
"Where is the ""WASCAL"" Climate Change center?","The WASCAL research center is a dedicated facility located at the Faraba Banta Campus.",Facilities
"Are there prayer facilities on campus?","Yes, mosques and designated prayer areas are provided at the Faraba, Kanifing, and Brikama campuses.",Facilities
"What is the ""Digital Square""?","An ICT innovation hub located at the Kanifing Campus housing computer labs and tech incubators.",Facilities
"Does the university provide a shuttle bus service?","Yes, the university operates a fleet of buses connecting Kanifing, Brikama, and Faraba Banta.",Facilities
"Where is the School of Medicine located?","The School of Medicine and Allied Health Sciences is primarily based at the Banjul Campus.",Facilities
"Are there sports facilities at Faraba Banta?","The campus features football pitches, basketball courts, and an athletics track for student recreation.",Facilities
"What are the ""Peace Huts""?","Traditional-style shaded outdoor structures used for student study groups and social gatherings.",Facilities
"Does the university have high-speed Wi-Fi?","Yes, managed Wi-Fi is available across all academic blocks and libraries via the campus network.",Facilities
"Where is the ""Exams and Records"" office?","The central unit for transcripts and certificates is located at the Kanifing Campus.",Facilities
"Is there a university clinic at Faraba Banta?","Yes, a fully equipped campus clinic provides 24-hour basic healthcare and emergency services.",Facilities
"What is the ""Science Park"" initiative?","A designated area for collaborative research between the university and private sector innovators.",Facilities
"Where is the Faculty of Law building?","The Faculty of Law has a dedicated modern building within Lot 2 of the Faraba Banta Campus.",Facilities
"Are there computer labs for non-ICT students?","Yes, general-access computer laboratories are available in the main libraries and the School of Education.",Facilities
"Where is the ""Confucius Institute""?","The center for Chinese language and culture is located at the Kanifing Campus.",Facilities
"Does the university have a cafeteria?","Yes, there are large student cafeterias serving local and international meals at Faraba and Kanifing.",Facilities
"Where is the School of Agriculture farm site?","The university maintains an experimental farm for hands-on training at the Faraba Banta Campus.",Facilities
"What is the ""Moot Court""?","A specialized facility within the Faculty of Law designed for mock trial sessions and legal training.",Facilities
"Are the buildings disability-friendly?","New infrastructure at Faraba Banta is equipped with ramps and elevators for students with physical disabilities.",Facilities
"Where is the ""Directorate of ICT""?","The central ICT office is located at the Digital Square in Kanifing.",Facilities
"Does the university have a printing press?","Yes, the UTG Printing Press is located at the Kanifing Campus for official publications.",Facilities
"Where is the School of Engineering located?","It is based at the Faraba Banta Campus, featuring specialized engineering workshops.",Facilities
"What is the ""Lot 2"" project?","This phase includes the Chancery, Faculty of Law, School of Agriculture, and the main auditorium.",Facilities
"Are there ATMs on campus?","Yes, bank galleries featuring ATMs are located at the entrance of the Faraba Banta and Kanifing campuses.",Facilities
"Where is the ""MDI Road"" campus?","Located in Kanifing, this site houses the School of Journalism and several administrative offices.",Facilities
"Does the university have a staff lounge?","Yes, dedicated staff common rooms are available in every academic block at Faraba Banta.",Facilities
"Where is the ""Research Commons""?","A specialized quiet zone for postgraduate researchers located within the Alieu Badara Joof Library.",Facilities
"Is there a security office on campus?","Yes, the Security Unit maintains a 24-hour presence with offices at the main gates of all campuses.",Facilities
"Where are the Nursing labs located?","The Department of Nursing maintains clinical skill labs at the Banjul and Faraba Banta sites.",Facilities
"Does the university have a guest house?","Yes, a university guest house for visiting scholars is located near the Faraba Banta Campus.",Facilities
"What is the ""ICT Helpdesk""?","A technical support center located at Kanifing and Faraba to assist students with portal issues.",Facilities
"Where is the University Liaison office in Basse?","The university maintains a regional office in Basse to support students from the Upper River Region.",Facilities
