question,answer,category
When was the University of The Gambia officially established?,"The university was established in March 1999 by an Act of the National Assembly of The Gambia.",General
What is the core mission of UTG?,"To provide relevant, sustainable, and high-quality tertiary education and research for national development.",General
Who serves as the Chancellor of the University?,"The President of the Republic of The Gambia serves as the Chancellor of the university.",General
What is the role of the Vice-Chancellor?,"The Vice-Chancellor is the chief academic and administrative officer, overseeing the daily operations of the university.",General
What is the 'Faraba Banta' Master Plan?,"A multi-phase infrastructure project aimed at consolidating all academic units into a single ultra-modern campus.",General
Which body is responsible for the university's financial policies?,"The University Governing Council is the supreme body responsible for policy, finances, and property.",General
Where is the 'Chancery' building situated?,"The Chancery, which houses the central administration, is located at the Faraba Banta Campus Lot 2.",General
How many schools and faculties are under the UTG umbrella?,"The university comprises 10 distinct academic units, ranging from Medicine to Business and ICT.",General
What are the official colors of UTG?,"The university colors are blue and gold, symbolizing excellence, wisdom, and the horizon of knowledge.",General
Where is the School of Journalism and Digital Media located?,"It is primarily based at the Kanifing Campus on MDI Road.",General
Which department oversees the 'Islamic Finance' program?,"The Department of Economics and Finance within the School of Business and Public Administration.",General
What is the 'Alieu Badara Joof' Library?,"The central library at Faraba Banta, named after the late former Vice President and education advocate.",General
Where do I find the Office of the Registrar?,"The Registrar's office is located on the third floor of the Chancery Building at Faraba Banta.",General
Does the university have a campus in the North Bank Region?,"Yes, the Farafenni Campus serves as a key site for agricultural research and community medicine.",General
What is the focus of the 'Directorate of Research'?,"It coordinates academic research, consultancy services, and international research partnerships.",General
Which school is responsible for 'Public Health' training?,"The School of Medicine and Allied Health Sciences, based primarily in Banjul.",General
What is the significance of the University's 'Service to Community' pillar?,"It ensures that student projects and faculty research directly address Gambian socio-economic challenges.",General
Where is the 'Digital Square' innovation hub?,"The Digital Square is located at the Kanifing Campus, housing ICT labs and start-up incubators.",General
Which department handles Software Engineering?,"The Department of Computer Science within the School of ICT.",General
Does the university have an Internal Audit unit?,"Yes, the Internal Audit Directorate ensures transparency and compliance in all financial transactions.",General
Where is the School of Agriculture located in 2026?,"The school is fully operational at the Faraba Banta Campus with its own experimental farm site.",General
Who heads a typical Academic School at UTG?,"Each school is headed by a Dean, who reports to the Deputy Vice-Chancellor (Academic).",General
What is the 'University Senate' responsible for?,"The Senate is the ultimate authority on all academic matters, including curricula and graduation approvals.",General
Where can I find the UTG Student Union headquarters?,"The UTGSU main office is located in the Student Center at the Faraba Banta Campus.",General
What is the 'Peace Building' in Kanifing used for?,"It houses the School of Graduate Studies and Research and various administrative offices.",General
Which department manages the 'Sociology' program?,"The Department of Psychology and Sociology under the School of Arts and Sciences.",General
What is the university's vision for 'Digital Transformation'?,"To integrate e-learning and automated administrative services across all campuses by 2027.",General
Where is the School of Education's primary site?,"The School of Education is located in Lot 1 of the Faraba Banta Campus.",General
What is the 'Lot 3' expansion area intended for?,"Lot 3 is reserved for the future expansion of the Medical School and clinical research facilities at Faraba.",General
Which department manages the BSc in Human Resource Management?,"The Department of Management Sciences within the School of Business.",General
Where are the science laboratories for Biology and Chemistry?,"The main laboratories are situated in the Science Complex at Faraba Banta Lot 1.",General
Who is the current University Librarian?,"The library is managed by a Chief Librarian appointed by the University Council.",General
What is the 'Center for African and Global Languages'?,"A specialized center at the Kanifing Campus for the study of local and international languages.",General
Where do Law students attend their lectures?,"Law students are based at the Faculty of Law building within Lot 2 of the Faraba Banta Campus.",General
What is the role of the 'Directorate of Planning'?,"It manages the university's growth strategies and monitors the implementation of the Strategic Plan.",General
Which department handles 'Veterinary Medicine'?,"The Department of Veterinary and Animal Science within the School of Agriculture.",General
Where is the University Clinic located?,"The primary student clinic is at the Faraba Banta Campus, with an annex at the Banjul medical site.",General
What is the 'UTG Alumni Association'?,"An organization for former students aimed at networking and supporting the university's development.",General
Which department is responsible for 'Mathematics and Statistics'?,"The Department of Mathematics and Statistics under the School of Arts and Sciences.",General
Where is the office of the Deputy Vice-Chancellor (Administration)?,"The office is located in the Chancery Building at the Faraba Banta Campus.",General
What is the 'Confucius Institute' at UTG?,"A partnership center at the Kanifing Campus focusing on Chinese language and cultural exchange.",General
Which school offers the 'Bachelor of Community Building'?,"The School of Engineering and Architecture at the Faraba Banta Campus.",General
Where is the 'Finance Office' for student payments?,"The main Finance/Accounts Office is located at the Kanifing Campus.",General
Which department oversees 'Political Science'?,"The Department of Political Science and Development Studies within the School of Arts and Sciences.",General
What is the 'Peace Hut' initiative?,"Shaded outdoor areas across campuses designed for student discussions and collaborative study.",General
Where can I find the 'Exams and Records' unit?,"The unit is headquartered at the Kanifing Campus for transcript and certificate processing.",General
Which department manages 'Food Science and Technology'?,"A specialized department within the School of Agriculture and Environmental Sciences.",General
