question,answer,category
What are the minimum CGPA requirements for graduation?,"To graduate with a Bachelor's degree, a student must maintain a minimum CGPA of 2.00 and have no outstanding failed courses.",Graduation
How do I start the "Final Year Clearance" process?,"The process begins at your Departmental Office (HOD) once your final semester results are uploaded to your portal.",Graduation
What is the graduation gown rental fee for 2026?,"The standard gown rental fee is D600 for both undergraduate and postgraduate students, payable at Trust Bank or GTBank.",Graduation
What departments must sign my clearance form?,"You must be cleared by the Library, ICT Unit, Finance Office, Sports Department, and the Alumni Association.",Graduation
When is the 2026 Convocation Ceremony scheduled?,"The official university convocation is typically held in early March at the QCity complex or the Faraba Banta Campus.",Graduation
How do I receive my official University Transcript?,"After final clearance, you can apply for your transcript at the Exams and Records unit at the Kanifing Campus.",Graduation
Is the "Alumni Registration Fee" mandatory?,"Yes, all graduating students must pay a mandatory Alumni Association fee (currently D500) as part of their final clearance.",Graduation
What happens if I lose my graduation gown?,"Lost or damaged gowns must be replaced by paying the full market cost of the regalia to the university's finance office.",Graduation
Can I graduate with a "Carryover" course?,"No, all core and general education requirements must be successfully passed before you can be listed for graduation.",Graduation
Where do I collect my graduation certificate?,"Certificates are issued at the Registrar's Office (Exams and Records) following the formal convocation ceremony.",Graduation
What is a "Letter of Attestation"?,"A document issued to graduates who have completed their studies but are awaiting the official convocation and certificate printing.",Graduation
Does the university provide gowns for postgraduate students?,"Yes, Master's and PhD students use specific academic regalia distinct from the undergraduate gowns.",Graduation
How many guests can I invite to the ceremony?,"Each graduand is typically issued two invitation cards for family members due to seating capacity at the venue.",Graduation
What is the "Verification of Results" step in clearance?,"The Exams and Records unit must verify that all your grades from Year 1 to Year 4 are correctly recorded in the system.",Graduation
Can I participate in the ceremony if I haven't finished my project?,"No, the submission and successful defense of your final-year thesis/project is a prerequisite for graduation.",Graduation
What is "Convocation Clearance"?,"It is the final financial verification to ensure all tuition fees, library fines, and laboratory fees have been settled.",Graduation
How do I return my rented graduation gown?,"Gowns must be returned to your respective Faculty Officer within 72 hours of the ceremony to avoid late return fines.",Graduation
Do I need my student ID card for graduation?,"Yes, your valid Student ID or a national document is required for gown collection and identity verification at the ceremony.",Graduation
What is the "Alumni Induction" ceremony?,"A short ceremony usually held a day before convocation where graduates are officially welcomed into the UTG Alumni Association.",Graduation
"Can I graduate in 'Absentia'?","Yes, students who cannot attend the ceremony can apply to graduate in absentia and collect their certificates at a later date.",Graduation
What is the "Graduation List"?,"A provisional list published by the Registrar's Office containing the names of all students who have met the academic requirements.",Graduation
Are there prizes for the "Best Graduating Student"?,"Yes, the university awards various prizes, including the Chancellor's and Vice-Chancellor's awards for academic excellence.",Graduation
How do I settle outstanding Library fines?,"All fines must be paid at the bank and the receipt presented to the University Librarian for clearance signature.",Graduation
What is "Farafenni Clearance"?,"Students based at the Farafenni or Brikama campuses must ensure their local records are transferred to Kanifing for final processing.",Graduation
Does the university provide photography services during graduation?,"Official university photographers are available, but students can also hire private photographers for the designated photo zones.",Graduation
What is the "Final Result Audit"?,"An internal review by the Senate to confirm that a student has met the credit load requirements for their specific degree.",Graduation
