question,answer,category
What are the two main departments in the School of Business and Public Administration?,"The school is organized into the Department of Economics and Finance and the Department of Management Sciences.",Departments
Which department handles the Accountancy and Banking programs?,"The Department of Economics and Finance oversees Accountancy, Banking and Finance, and Islamic Finance.",Departments
What programs are managed by the Department of Management Sciences?,"This department manages Public Administration, Marketing, Management, Human Resource Management, and Tourism.",Departments
Does the School of Arts and Sciences have separate divisions for its departments?,"Yes, it is split into the Division of Humanities and Social Sciences and the Division of Physical and Natural Sciences.",Departments
What departments fall under the Division of Humanities and Social Sciences?,"This division includes departments for English, French, History, Islamic Studies, Development Studies, and Political Science.",Departments
Which department is responsible for the BSc in Psychology and Sociology?,"The Department of Psychology and Sociology, housed within the School of Arts and Sciences.",Departments
What are the core departments in the Division of Physical and Natural Sciences?,"The division consists of the Departments of Mathematics, Biology, Chemistry, and Physics.",Departments
What are the primary departments in the School of ICT?,"The school is divided into the Department of Computer Science, Department of Information Systems, and Department of Telecommunications.",Departments
Which department handles the BSc in Software Engineering?,"The Department of Computer Science within the School of ICT manages the Software Engineering and Artificial Intelligence tracks.",Departments
What are the departments within the School of Agriculture and Environmental Sciences?,"Key departments include Crop Production and Protection, Veterinary and Animal Science, Food Science and Technology, and Environmental Sciences.",Departments
What is the focus of the Department of Crop Production and Protection?,"This department oversees programs in Horticulture, Crop Protection, and Soil Science.",Departments
Which department manages the Fisheries and Aquaculture programs?,"The Veterinary and Animal Science Department within the School of Agriculture.",Departments
What are the departmental divisions in the School of Education?,"The school features departments for Science Education, Humanities Education, and Agricultural Education.",Departments
Which department oversees the MBChB (Medicine) program?,"The Department of Medicine, under the School of Medicine and Allied Health Sciences, based primarily in Banjul.",Departments
What department handles Nursing and Midwifery?,"The Department of Nursing and Reproductive Health within the School of Medicine.",Departments
Does the university have a Department of Public Health?,"Yes, the Department of Public and Environmental Health is a major unit within the School of Medicine.",Departments
Which department is responsible for the Bachelor of Community Building and Design?,"The Department of Architecture and Planning within the School of Engineering and Architecture.",Departments
What department manages the Journalism and Media programs?,"The Department of Journalism and Digital Media, based at the Kanifing Campus.",Departments
Is there a specific department for "African History"?,"Yes, the Department of History under the School of Arts and Sciences handles both undergraduate and graduate African History modules.",Departments
Which department manages the "Islamic Finance" program?,"The Department of Economics and Finance, reflecting the school's focus on Sharia-compliant financial systems.",Departments
What department oversees "Renewable Energy" research?,"The Department of Physics, which offers specialized Master's tracks in Renewable Energy and Physics for Life Sciences.",Departments
Does the university have a dedicated "Human Resources" department for academics?,"Yes, the HR Directorate manages staff recruitment and administrative personnel across all academic schools.",Departments
Which department handles "Data Science" modules?,"The Department of Computer Science (ICT) and the Department of Mathematics (Arts & Sciences) collaborate on the Statistics and Data Science tracks.",Departments
What department is responsible for "Social Work"?,"The Department of Psychology and Sociology under the School of Arts and Sciences.",Departments
Which department manages "Agribusiness Management"?,"The Department of Agricultural Economics and Extension within the School of Agriculture.",Departments
