question,answer,category
What undergraduate programs are offered by the School of Business?,"BSc degrees in Accountancy, Management, Economics, Banking and Finance, and Marketing.",Programs
Does the university offer a program in Tourism?,"Yes, the School of Business and Public Administration offers a BA in Tourism and Hospitality Management.",Programs
What is the 'BCBD' program?,"The Bachelor of Community Building and Design, offered by the School of Engineering and Architecture.",Programs
Which school offers the 'MBChB' program?,"The School of Medicine and Allied Health Sciences offers the Bachelor of Medicine and Bachelor of Surgery.",Programs
Are there any programs in Journalism?,"Yes, the School of Journalism and Digital Media offers both BA and BSc degrees in Journalism.",Programs
What programs are available in the School of ICT?,"BSc degrees in Computer Science, Information Systems, Software Engineering, and Telecommunications.",Programs
Does UTG offer a Law degree?,"Yes, the Faculty of Law offers the Bachelor of Laws (LLB) and the Master of Laws (LLM).",Programs
What are the natural science programs?,"BSc degrees in Biology, Chemistry, Physics, and Mathematics under the School of Arts and Sciences.",Programs
Which school offers the 'Nursing' program?,"The School of Medicine and Allied Health Sciences offers the BSc in Nursing and Reproductive Health.",Programs
Are there programs in Agriculture?,"Yes, the School of Agriculture and Environmental Sciences offers a BSc in Agriculture.",Programs
What is the 'Public Health' program?,"A BSc in Public and Environmental Health offered by the School of Medicine and Allied Health Sciences.",Programs
Does the university offer a program in 'Development Studies'?,"Yes, it is a popular Bachelor of Arts program within the School of Arts and Sciences.",Programs
What social science programs are available?,"BA degrees in Political Science, Psychology, Sociology, and Social Work.",Programs
Which school offers 'Islamic Studies'?,"The School of Arts and Sciences offers a BA in Islamic Studies.",Programs
Is there a 'French' degree program?,"Yes, the School of Arts and Sciences offers a BA in French Language and Literature.",Programs
What is the 'Environmental Science' program?,"A BSc degree focusing on ecology and sustainability under the School of Agriculture.",Programs
Does the university offer a degree in 'History'?,"Yes, the School of Arts and Sciences offers a BA in African and World History.",Programs
What are the 'Education' degree options?,"B.Ed degrees specializing in Agriculture, Math, English, Geography, History, Arabic, and Science.",Programs
Are there postgraduate programs in Public Administration?,"Yes, including Master of Public Administration (MPA) and PhD in Public Administration.",Programs
Which school offers the 'Master of Science in Computer Science'?,"The School of Information and Communication Technology (ICT).",Programs
Does UTG offer a 'Master of Arts in English'?,"Yes, this program is hosted by the School of Arts and Sciences.",Programs
What is the 'Master of Public Health' (MPH)?,"A postgraduate program focusing on health improvement and development.",Programs
Are there PhD programs in Agriculture?,"Yes, specifically a PhD in Agronomy with specializations in Horticulture and Soil Science.",Programs
What is the 'Islamic Finance' program?,"A specialized BSc degree under the School of Business and Public Administration.",Programs
Does the university offer 'Procurement' studies?,"Yes, a BSc in Procurement and Supply Chain Management was recently introduced.",Programs
What is the 'University Foundation Year'?,"A pre-degree access program for students transitioning to full undergraduate studies.",Programs
Which school offers 'Christian Studies'?,"The School of Arts and Sciences offers a BA in Christian Religious Studies.",Programs
Is there a program in 'Gender Studies'?,"Yes, it is offered as a specialized track within the School of Arts and Sciences.",Programs
What is the 'Master of Science in Statistics'?,"A graduate program under the School of Arts and Sciences focusing on Data Science.",Programs
Does UTG offer 'Telecommunications' engineering?,"Yes, as a BSc program within the School of Information and Communication Technology.",Programs
What is the 'Postgraduate Diploma in Midwifery'?,"A specialized professional diploma offered by the School of Medicine.",Programs
Are there programs for 'Social Work'?,"Yes, a BA in Social Work is offered under the School of Arts and Sciences.",Programs
Which school offers 'Construction Management'?,"The School of Engineering and Architecture, often as an HND or degree track.",Programs
Does the university offer a 'Master of Arts in French'?,"Yes, it is one of the humanities graduate programs available.",Programs
What is the 'BSc in Information Systems'?,"A program focusing on the bridge between business needs and ICT solutions.",Programs
Are there programs in 'Veterinary Medicine'?,"Pre-veterinary tracks are often integrated into the School of Agriculture.",Programs
Which school offers the 'Master in Education Management'?,"The School of Education offers this for aspiring school administrators.",Programs
Is there a 'Digital Media' program?,"Yes, the School of Journalism and Digital Media offers specialized tracks in digital content.",Programs
What is the 'Master of Science in Physics'?,"A graduate program often focusing on Renewable Energy within the School of Arts and Sciences.",Programs
Does the university offer 'International Relations'?,"Yes, specifically a Master of Science in International Relations and Diplomacy.",Programs
What are the 'Diploma' options in ICT?,"Diplomas in Computer Science and Information Technology for mid-level professionals.",Programs
Which school offers 'Agro-Ecology'?,"The School of Agriculture and Environmental Sciences.",Programs
Are there 'Language' certificates?,"The Center for African and Global Languages offers certificates in local and foreign languages.",Programs
What is the 'Master of Science in Economics'?,"A quantitative graduate program under the School of Business.",Programs
Does UTG offer 'Software Engineering' at the degree level?,"Yes, it is a core offering within the School of ICT.",Programs
What is the 'Professional Diploma in Law'?,"A program for paralegals and legal assistants offered by the Faculty of Law.",Programs
Which school offers 'Clinical Sciences'?,"The School of Medicine and Allied Health Sciences.",Programs
Are there 'Accounting' professional certificates?,"The School of Business offers pathways toward ACCA and other professional bodies.",Programs
What is the 'BA in Geography'?,"A humanities-based study of human and physical environments.",Programs
Does the university offer 'Philosophy'?,"Introductory philosophy is often integrated as a minor or within general education.",Programs
What is the 'BSc in Marketing'?,"A program focused on consumer behavior, branding, and market research.",Programs
Which school offers 'Educational Measurement and Evaluation'?,"The School of Education at the postgraduate level.",Programs
Is there a 'Master of Science in Community Health'?,"Yes, specifically for Nursing and Public Health professionals.",Programs
What is the 'BSc in Banking and Finance'?,"A degree focused on financial systems and commercial banking operations.",Programs
Does the university offer 'Arabic Language' programs?,"Yes, a BA in Arabic is offered within the School of Arts and Sciences and Education.",Programs
What is the 'Master of Science in Animal Science'?,"A graduate track within the School of Agriculture.",Programs
Which school offers 'Media Studies'?,"The School of Journalism and Digital Media.",Programs
Are there 'Distance Learning' programs?,"Certain graduate modules and the IOU partnership offer blended/online options.",Programs
What is the 'BSc in Management'?,"A degree focused on organizational behavior and human resource management.",Programs
Does UTG offer 'Architecture'?,"Yes, the School of Engineering and Architecture offers the BCBD and future B.Arch tracks.",Programs
What is the 'Postgraduate Diploma in Health Promotion'?,"A professional program under the School of Medicine.",Programs
Which school offers 'Renewable Energy' tracks?,"The School of Arts and Sciences, primarily within the Physics department.",Programs
Are there programs in 'African History'?,"Yes, both BA and MA programs specialize in the history of the continent and The Gambia.",Programs
What is the 'BSc in Public Administration'?,"A degree preparing students for roles in the civil service and NGOs.",Programs
Does the university offer 'Human Resource Management'?,"Yes, as a concentration within the BSc Management program.",Programs
Which school offers 'Entomology'?,"The School of Agriculture and Environmental Sciences at the postgraduate level.",Programs
Are there programs for 'Early Childhood Development'?,"The School of Education offers specialized tracks for ECD teachers.",Programs
What is the 'Master of Science in Crop Protection'?,"A research-based graduate program in the School of Agriculture.",Programs
Does UTG offer 'Telecommunications and Wireless Technologies'?,"Yes, as a specialized degree track in the School of ICT.",Programs
What is the 'BA in Islamic Knowledge'?,"A program focusing on theology and Islamic jurisprudence.",Programs
Which school offers 'Physical Therapy'?,"The School of Medicine and Allied Health Sciences.",Programs
Are there 'Short Courses' in ICT?,"Yes, professional certifications in Cisco (CCNA) and web development are available.",Programs
What is the 'Master in International Business'?,"A graduate program under the School of Graduate Studies.",Programs
Does the university offer 'Christian Religious Studies'?,"Yes, as a BA program in the School of Arts and Sciences.",Programs
What is the 'BSc in Data Science'?,"A newly emerging track within the Mathematics and ICT departments.",Programs
Which school offers 'Midwifery'?,"The School of Medicine and Allied Health Sciences at both degree and diploma levels.",Programs
Are there 'Executive' Master's programs?,"The School of Business offers an Executive MBA for working professionals.",Programs
What is the 'BSc in Software Development'?,"A practical degree track within the School of Information Technology.",Programs
Does UTG offer 'Urban Planning'?,"Elements of urban planning are taught within the BCBD program in Engineering.",Programs
What is the 'Master of Science in Environmental & Occupational Health'?,"A specialized track within the Master of Public Health.",Programs
Which school offers 'Sociology'?,"The School of Arts and Sciences offers a BA in Sociology.",Programs
Are there 'Bridge' programs?,"The School of Graduate Studies offers 'Bridge to Master's' for HND holders.",Programs
What is the 'BSc in Hospitality Management'?,"A degree track within the Tourism program in the School of Business.",Programs
Does the university offer 'Public Relations'?,"Yes, as a concentration within the Journalism and Digital Media school.",Programs
What is the 'BSc in Mathematics Education'?,"A teacher-training degree within the School of Education.",Programs
Which school offers 'Agronomy'?,"The School of Agriculture and Environmental Sciences.",Programs
Are there 'Theology' programs?,"Yes, through the Islamic Studies and Christian Studies departments.",Programs
What is the 'BSc in Biochemistry'?,"A specialized science track within the Biology and Chemistry departments.",Programs
Does UTG offer 'Structural Engineering'?,"Specific modules are available within the School of Engineering.",Programs
What is the 'Master of Science in Research Ethics'?,"A unique graduate program focusing on medical and social research standards.",Programs
Which school offers 'International Relations'?,"The School of Arts and Sciences.",Programs
Are there 'Journalism' diplomas?,"Yes, for students entering the media profession at an introductory level.",Programs
What is the 'BSc in Physics Education'?,"A specialized science teacher program in the School of Education.",Programs
Does the university offer 'Microbiology'?,"Yes, as a core concentration within the Biology program.",Programs
What is the 'Master of Science in Project Management'?,"A popular graduate track within the School of Business.",Programs
Which school offers 'Occupational Health'?,"The School of Medicine and Allied Health Sciences.",Programs
Are there 'Arabic' education programs?,"Yes, the School of Education offers B.Ed in Arabic Language.",Programs
What is the 'BSc in Sustainable Development'?,"A specialized track within the Environmental Sciences program.",Programs
Does UTG offer 'Computer Engineering'?,"Initial engineering cycles are offered with future full-degree specialization planned.",Programs
What is the 'Master of Science in Management Information Systems' (MIS)?,"A graduate program bridging business management and IT.",Programs
