question,answer,category
What is the minimum CGPA required to move to the next level?,"Students must attain a minimum Cumulative Grade Point Average (CGPA) of 2.0 at the end of each semester to be in good academic standing.",Academics
What is the consequence of having a CGPA below 2.0?,"Students with a CGPA below 2.0 will be issued a warning letter by the Registrar and the Dean, and may eventually be placed on academic probation.",Academics
What is the mandatory attendance requirement for classes?,"Students are required to attend at least 80% of the classes for each course in order to receive the assigned credit hours.",Academics
What happens if a student fails to meet the 80% attendance rule?,"Failure to meet the 80% attendance requirement will result in a failing grade for the course or mandatory deferment of the module.",Academics
What is the standard weight for a final examination?,The end-of-semester examination typically accounts for 60% of the total marks for a course.,Academics
How is the Continuous Assessment (CA) structured?,"CA accounts for 40% of the total grade and includes presentations, assignments, tests, and quizzes.",Academics
What is the mark range for an 'A' grade?,"An 'A' grade represents excellent performance and is awarded for scores between 85% and 100%.",Academics
What is the numerical equivalent of a 'B' grade?,"A 'B' grade, representing very good performance (74-84%), has a numerical equivalent of 4.0.",Academics
"What constitutes a 'Fail' grade?",A score between 0% and 39% is classified as a 'Fail' (F) and carries a numerical equivalent of 0.,Academics
What is the credit value of most undergraduate courses?,"Most undergraduate academic courses involve 3 credits, representing approximately 40 hours of classroom instruction.",Academics
What is the 'Add/Drop' period?,"It is the designated time at the start of a semester where students can officially change their course selections without penalty.",Academics
What is academic probation?,"Probation is a status for students who fail to maintain the minimum CGPA for two consecutive semesters, requiring a mandatory one-year withdrawal.",Academics
"What is a 'Summa cum laude' distinction?","In the Faculty of Law, this distinction is awarded for a Cumulative Quality Point Average (CQPA) between 4.000 and 4.300.",Academics
How does a student qualify for a 'First Class' honors degree?,"A student must achieve a CQPA of at least 4.00 and have completed 75% of their coursework at UTG.",Academics
What is the penalty for late assignment submission?,"Assignments generally carry a minimum penalty of 5% per day for late submission, and may be rejected after one week.",Academics
What is the 'Viva Voce'?,"It is the formal oral defense of a Master's or PhD thesis before a panel of internal and external examiners.",Academics
Are internship programs mandatory?,"Many programs, particularly in Business and ICT, require a mandatory internship or 'Service to Community' project for graduation.",Academics
What is the 'Mooting' requirement for Law students?,"Law students must participate in mock trial sessions in the Moot Court to develop practical litigation skills.",Academics
How are final results approved?,"Grades are first reviewed by the Departmental Board, then the School Board, and finally ratified by the University Senate.",Academics
What is the role of an External Examiner?,"External examiners are appointed from other universities to moderate exam papers and ensure international standards are maintained.",Academics
What is the 'General Education Requirement' (GER)?,"GERs are a set of core courses in English, Math, and Philosophy that all undergraduate students must pass.",Academics
Can a student retake a failed course?,"Yes, failed courses must be retaken in a subsequent semester when the course is offered.",Academics
What is the 'Course Outline' document?,"A document provided at the start of the semester detailing the syllabus, assessment tasks, and marking criteria.",Academics
Does UTG offer a summer session?,"Yes, an optional summer session is usually offered for students who wish to accelerate their studies or clear failed courses.",Academics
What is the 'Credit Loading' limit?,"Students are typically allowed to register for a maximum of 18 to 21 credits per semester, depending on their CGPA.",Academics
What is an 'I' (Incomplete) grade?,"An 'I' grade is temporarily assigned when a student is unable to complete course requirements due to documented medical or emergency reasons.",Academics
How many credits are required for a standard Bachelor's degree?,"Most Bachelor's programs require the completion of between 120 and 132 credit hours.",Academics
What is the 'Matriculation' ceremony?,"It is the formal event where new students are officially inducted into the university and sign the matriculation register.",Academics
What is 'Academic Integrity'?,"The university's code of conduct that strictly prohibits plagiarism, cheating in exams, and falsification of data.",Academics
Can I change my major after the first year?,"Yes, internal transfers are possible but require a minimum CGPA and approval from both the losing and gaining Deans.",Academics
"What is a 'W' (Withdrawal) grade?","A 'W' is recorded if a student officially withdraws from a course after the Add/Drop period but before the withdrawal deadline.",Academics
What is the 'Dean's List'?,"An honorary list of students who achieve a high GPA (typically 3.7 or above) in a single semester.",Academics
What is the 'Moodle' platform used for?,"Moodle is the university's primary Learning Management System for accessing course materials and submitting assignments online.",Academics
What is the 'Seminar' requirement for graduate students?,"Master's and PhD candidates are required to present their research progress in periodic departmental seminars.",Academics
How many times a year can a student apply for graduation?,"Graduation is processed once a year, usually culminating in a convocation ceremony in the first half of the year.",Academics
What is the 'GPA' versus 'CGPA'?,The Grade Point Average (GPA) is for a single semester; the Cumulative Grade Point Average (CGPA) covers the entire duration of study.,Academics
What is the 'Transcript of Records'?,"A formal document that lists all courses taken, grades received, and the final CGPA earned by a student.",Academics
Does the university have a 'Remedial' program?,"The Access Programme serves as a remedial path for students who need to upgrade their WASSCE results for degree entry.",Academics
What is the 'Capstone' project?,"A final year project or dissertation that integrates the knowledge and skills learned throughout the degree program.",Academics
