question,answer,category
"What is the first step of the registration process?","Students must pay at least 40% of their tuition at the bank to activate their portal for the semester.",Registration
"How do I access the student portal for registration?","Visit portal.utg.gm and log in using your matriculation number and personal password.",Registration
"What is the ""Add/Drop"" period?","A two-week window at the start of the semester to add or remove courses without academic penalty.",Registration
"Can I register for courses if I have outstanding fees?","No, the system automatically blocks course registration for students with unsettled prior balances.",Registration
"How do I select my courses online?","Once logged in, navigate to the 'Course Registration' tab and select modules based on your departmental guide.",Registration
"What is the maximum credit load per semester?","The standard maximum is 18 credit hours, though students with high CGPAs may apply for an overload.",Registration
"How do I confirm my registration is complete?","After selecting courses, you must click 'Submit' and print the 'Course Registration Form' for departmental signing.",Registration
"What is a ""Registration Hold""?","A block on your account due to financial, medical, or administrative issues that prevents enrollment.",Registration
"Where do I get my registration form signed?","Registration forms must be signed by your Academic Advisor and the Head of Department (HOD).",Registration
"What is the deadline for regular registration?","Deadlines are typically two weeks after the start of lectures, as per the 2026 Academic Calendar.",Registration
"Is there a penalty for late registration?","Yes, a late registration fee is applied to any student enrolling after the official deadline has passed.",Registration
"How do I register for a ""Resit"" exam?","Students must apply through the Exams and Records portal and pay the required resit fee at the bank.",Registration
"What is ""Course Pre-requisite"" blocking?","The portal will prevent you from registering for an advanced course if you haven't passed the introductory level.",Registration
"Can I register for more than 18 credits?","Only with written approval from your Dean and if your CGPA is 3.50 or higher.",Registration
"How do I reset my portal password?","Use the 'Forgot Password' link on the login page to receive a reset link via your registered email.",Registration
"What is the ""Portal Activation"" fee?","A small annual fee included in the administrative charges that enables your online account access.",Registration
"Do I need to register for ""General Education"" (GER) courses separately?","Yes, GER courses must be selected manually like any other module during the registration window.",Registration
"How do I register for the ""Final Year Project""?","Select the 'Project' module (usually 499) and ensure your supervisor's name is recorded with the department.",Registration
"What happens if I don't register by the final deadline?","Unregistered students are not recognized for that semester and may be asked to defer their studies.",Registration
"Can I change my registered courses after the Add/Drop period?","No, changes are strictly prohibited once the Add/Drop window closes for the semester.",Registration
"What is the ""Semester Validation""?","The final step where the Finance Office verifies your payment and clears you for the semester.",Registration
"How do I register for ""Industrial Attachment""?","Students must register for the 'Internship/Attachment' module and submit a placement letter to their HOD.",Registration
"What is a ""Matriculation Number""?","A unique lifetime ID assigned to you upon first registration that you must use for all official tasks.",Registration
