question,answer,category
What is the primary portal for online applications?,"All applications are submitted via the UTG portal at www.utg.gm by clicking the 'Apply Now' link.",Admission
What are the basic WASSCE requirements for a degree?,"Applicants must possess five credits including English and Mathematics in no more than two sittings.",Admission
How much is the undergraduate application fee for 2026?,"The application fee is currently GMD 500.00 for Gambian students and $50.00 for international applicants.",Admission
Where can I buy the admission scratch card?,"Admission pins are available at designated banks including Trust Bank, GTBank, and EcoBank.",Admission
What is the minimum credit requirement for the School of Medicine?,"Applicants need five credits in one sitting, specifically in English, Math, Biology, Chemistry, and Physics.",Admission
Can I apply for admission with a pending WASSCE result?,"Yes, you may apply with 'Awaiting Results' status, but admission is only confirmed once results are verified.",Admission
What is the age limit for undergraduate admission?,"There is no official age limit for admission to the university, provided entry requirements are met.",Admission
What documents must I upload during the application process?,"You must upload scanned copies of your O'Level results, birth certificate, and a passport-sized photo.",Admission
How do I track the status of my application?,"Log in to the portal with your application ID and password to view the current status under 'Track Application'.",Admission
What is the deadline for the 2026 September intake?,"The deadline is typically announced in late July or August on the university website and local media.",Admission
Are there mature student entry options?,"Yes, applicants aged 30 and above with relevant work experience may be considered via the Mature Students Entry Scheme.",Admission
What is the requirement for the BSc in Information Systems?,"Five WASSCE credits including English and Mathematics, with a preference for science subjects.",Admission
Does the university accept GCE O'Level results?,"Yes, GCE O'Level and WASSCE results are both accepted for undergraduate entry.",Admission
What is the admission criteria for the Faculty of Law?,"A minimum of five credits including a high grade in English Language and any four other subjects.",Admission
Can international students apply for the Law program?,"Yes, international students are welcome provided their high school certificates are equivalent to the WASSCE.",Admission
How are international certificates verified?,"International results are verified through the West African Examinations Council (WAEC) or the Registrar's Office.",Admission
What is the requirement for a Master's degree application?,"A Bachelor's degree with at least a Second Class Lower division in a related field from a recognized university.",Admission
Does UTG offer PhD admissions every year?,"PhD admissions are subject to departmental capacity and the availability of supervisors in specific research areas.",Admission
What is the 'Admission Selection List'?,"The official list of successful candidates published on the portal and university notice boards.",Admission
How do I download my official admission letter?,"Once admitted, the letter can be downloaded and printed directly from your student portal dashboard.",Admission
What is the requirement for the Diploma in Computer Science?,"A minimum of three WASSCE credits including English or Mathematics.",Admission
Can I change my choice of program after submitting the form?,"Changes are only allowed during the official 'Change of Program' window before the final selection list is out.",Admission
What is the 'University Foundation Year' admission?,"A program for students with 3 or 4 credits who wish to bridge the gap for degree entry.",Admission
Is there an entrance exam for the School of Journalism?,"Depending on the year, an aptitude test or interview may be required for Journalism applicants.",Admission
What is the requirement for the BSc in Agriculture?,"Five credits including English, Math, and either Agricultural Science or Biology.",Admission
Does UTG admit students for the Spring semester?,"Yes, the university often has a January intake for specific programs in Business and Arts & Sciences.",Admission
How much is the Mature Students Entry exam fee?,"The exam fee is separate from the application fee and is usually announced during the call for applications.",Admission
What is the 'Direct Entry' for Diploma holders?,"Students with a recognized Diploma and a high CGPA may be admitted into the second year of a degree program.",Admission
Are transfer students from other universities accepted?,"Yes, transfer students must provide an official transcript and a letter of good standing from their previous institution.",Admission
What is the 'Admission Inquiry' email address?,"All queries should be directed to admissions@utg.edu.gm for official response.",Admission
Can I apply for two different programs at once?,"The application form allows you to select a first and second choice of study.",Admission
What is the requirement for the BSc in Nursing?,"Five WASSCE credits including English, Math, Biology, Chemistry, and Physics in no more than two sittings.",Admission
Do I need a recommendation letter for undergraduate admission?,"Generally no, but letters of recommendation are mandatory for all Master's and PhD applications.",Admission
What is the 'English Language Proficiency' requirement?,"As the medium of instruction is English, students from non-English speaking countries must provide a TOEFL or IELTS score.",Admission
How long does it take to process an admission application?,"Processing usually takes 4 to 8 weeks after the application deadline has passed.",Admission
Can I use a vocational certificate for degree admission?,"Vocational certificates are evaluated by the Registrar's Office for equivalency on a case-by-case basis.",Admission
What is the 'Matriculation Number'?,"A unique identification number assigned to every student upon successful admission and registration.",Admission
Does the university admit students for distance learning?,"Currently, most programs require physical attendance, though some blended learning options are being introduced.",Admission
What is the 'Admission Deferral' policy?,"Admitted students can apply to defer their admission for up to one academic year for valid reasons.",Admission
Is a birth certificate mandatory for application?,"Yes, a birth certificate or a valid national ID/Passport is required for age and identity verification.",Admission
What is the requirement for the BSc in Economics?,"Five credits including English and Mathematics, with a strong performance in Economics or Social Studies.",Admission
Are there reserved seats for regional students?,"UTG follows a policy of inclusivity, with specific considerations for students from rural Senior Secondary Schools.",Admission
Can I apply with a combination of two WASSCE results?,"Yes, you can combine two sittings to meet the five-credit requirement for most programs.",Admission
What is the 'Access Program' at UTG?,"A remedial program designed to help students improve their O'Level results for university entry.",Admission
Does the university offer admission for 'Non-Degree' students?,"Yes, individuals can apply as 'Occasional Students' to take specific modules without seeking a full degree.",Admission
What is the 'Application ID'?,"The unique number generated when you start your online application; it is required for all follow-up queries.",Admission
Is there an interview for the School of Medicine?,"Yes, shortlisted candidates for the MBChB program must pass a rigorous oral interview.",Admission
What is the requirement for the BSc in Accountancy?,"Five credits including English and Mathematics; a credit in Financial Accounting is highly recommended.",Admission
Can I use my 'Statement of Results' for admission?,"Yes, but it must be replaced with the original certificate once issued by WAEC.",Admission
Does UTG accept 'A-Level' results for admission?,"Yes, candidates with 'A' Levels may be eligible for advanced standing or direct entry into the second year.",Admission
What is the 'New Student Orientation'?,"A mandatory week-long program for freshmen to learn about university life and academic policies.",Admission
How do I pay the application fee if I am outside The Gambia?,"International applicants can pay via bank transfer or online payment platforms as specified on the portal.",Admission
What is the 'Selection Committee'?,"A group of academic and administrative staff who review all applications to ensure merit-based selection.",Admission
Can I re-apply if I was previously rejected?,"Yes, you may re-apply in a subsequent intake once you have improved your qualifications.",Admission
What is the 'Registration Guide' for new students?,"A document issued alongside the admission letter detailing the steps for enrollment and fee payment.",Admission
Is there a deadline for accepting an admission offer?,"Yes, students usually have two weeks from the date of the letter to accept the offer and pay the deposit.",Admission
What is the 'Admission Deposit'?,"A non-refundable portion of the tuition fee paid to confirm your acceptance of the admission offer.",Admission
Does the university offer admission to the 'University Foundation Program'?,"Yes, for students who narrowly missed the degree entry requirements.",Admission
What is the requirement for the BSc in Psychology?,"Five credits including English and Mathematics at WASSCE level.",Admission
Are there entrance exams for Master's programs?,"Some departments, like Public Administration, may require a written entrance exam or interview.",Admission
How do I verify if my bank payment has been reflected on the portal?,"Check the 'Payment Status' section on your application dashboard after 24-48 hours of payment.",Admission
What is the requirement for the Diploma in Journalism?,"A minimum of three WASSCE credits including English Language.",Admission
Can I apply for a PhD without a Master's degree?,"No, a Master's degree in a relevant field is a strict prerequisite for PhD admission.",Admission
What is the 'Admission Helpdesk' location?,"The physical helpdesk is located at the Digital Square at the Kanifing Campus.",Admission
Does UTG have a 'Supplementary Admission' list?,"Yes, a second list may be published if there are remaining slots after the initial intake.",Admission
What is the requirement for the BSc in Mathematics?,"Five credits including English and a high grade in Mathematics.",Admission
Can I apply for admission using my NECO results?,"Yes, NECO results from Nigeria are accepted and evaluated for equivalency to the WASSCE.",Admission
What is the 'O'Level Verification' fee?,"A small fee paid during registration to cover the cost of verifying results with WAEC.",Admission
Are scholarships automatically granted upon admission?,"No, students must apply for scholarships separately after receiving their admission letter.",Admission
What is the 'Admission Quota' for international students?,"The university aims to have at least 10% of its student body comprised of international students.",Admission
What is the requirement for the BSc in Political Science?,"Five credits including English and any four other social science subjects.",Admission
