question,answer,category
How do I apply for a Gambia Government scholarship?,"Applications are submitted through the Personnel Management Office (PMO) after receiving a UTG admission letter.",Scholarships
What is the 'UTG Excellence Grant'?,"A university-funded scholarship awarded to the top-performing student in each school every academic year.",Scholarships
Are there scholarships for international students?,"Yes, the 'Chancellor's International Scholarship' is available for high-achieving non-Gambian applicants.",Scholarships
What does a 'Full Scholarship' typically cover?,"A full scholarship usually covers 100% of tuition fees, administrative fees, and sometimes a book allowance.",Scholarships
Where is the 'Scholarship and Financial Aid' office?,"The unit is located within the Dean of Students office at the Faraba Banta Campus Student Center.",Scholarships
What is the 'MRC' scholarship?,"A specialized research grant for students in the School of Medicine and Allied Health Sciences.",Scholarships
How do I apply for the 'Social Security and Housing Finance Corporation' (SSHFC) scholarship?,"Interested students must apply directly to SSHFC during their annual call for applications.",Scholarships
Does the 'Gambia Ports Authority' (GPA) offer scholarships?,"Yes, GPA provides several scholarships annually, specifically for Business and Engineering students.",Scholarships
What is the 'MoBSE' scholarship?,"A sponsorship program from the Ministry of Basic and Secondary Education for teachers pursuing a B.Ed.",Scholarships
Can I lose my scholarship?,"Yes, most scholarships require maintaining a minimum CGPA (usually 3.0 or 3.5) to remain active.",Scholarships
What is the 'Agri-Business' grant?,"A fund provided by the Ministry of Agriculture for students majoring in Crop Science or Animal Science.",Scholarships
Are there scholarships for students with disabilities?,"Yes, the university and several NGOs offer specific financial aid packages for students with physical disabilities.",Scholarships
What is the 'WASCAL' scholarship?,"A fully-funded regional scholarship for students in the Climate Change and Environmental Science programs.",Scholarships
How often should I renew my scholarship?,"Scholarships are typically reviewed annually at the end of the second semester based on academic results.",Scholarships
What is 'Need-Based' financial aid?,"Support granted to students based on their socio-economic status rather than just academic merit.",Scholarships
Can I have two scholarships at once?,"Generally, students are only allowed to hold one full scholarship; partial grants may sometimes be combined.",Scholarships
What is the 'PetroGambia' scholarship?,"A specialized grant for students in Science, Technology, and Engineering fields.",Scholarships
Does the 'GAMCEL/GAMTEL' scholarship exist?,"Yes, the national telecommunications company often sponsors ICT and Engineering students.",Scholarships
What is the 'Dean's Award'?,"A small monetary prize or fee credit given to students on the Dean's List for academic excellence.",Scholarships
How do I apply for 'OIC' scholarships?,"Applications are processed through the Ministry of Higher Education, Research, Science and Technology (MoHERST).",Scholarships
What is the 'Vice-Chancellor's' emergency fund?,"A small fund used to assist students facing sudden, extreme financial hardship.",Scholarships
Are there scholarships for Journalism students?,"Yes, several media foundations and the GPU often provide partial support for Journalism majors.",Scholarships
What is the 'Ecowas' scholarship?,"A regional scholarship program aimed at promoting student mobility within West African states.",Scholarships
Does the 'African Development Bank' provide grants?,"The AfDB often funds specific project-based scholarships in Agriculture and Infrastructure.",Scholarships
What is the 'Commonwealth' scholarship?,"A prestigious international scholarship for postgraduate students to study in the UK or other member states.",Scholarships
What is the 'Chevening' scholarship?,"An international award for Master's degree studies in the UK, often sought by UTG alumni.",Scholarships
How do I get a 'Tuition Waiver'?,"Waivers are usually granted to university staff and their immediate dependents as part of their benefits.",Scholarships
What is the 'Turkish Government' scholarship?,"A full scholarship for Gambian students to pursue undergraduate or postgraduate studies in Turkey.",Scholarships
What is the 'Chinese Government' scholarship?,"A bilateral agreement grant allowing UTG students to study in China, often coordinated via MoHERST.",Scholarships
Does 'QCell' offer scholarships?,"QCell frequently sponsors high-achieving students as part of its corporate social responsibility.",Scholarships
What is the 'Work-Study' program?,"A financial aid scheme where students work on campus in exchange for a reduction in tuition fees.",Scholarships
How do I apply for the 'Work-Study' scheme?,"Applications are available at the Dean of Students' office at the start of every semester.",Scholarships
What is the 'Student Union Relief' fund?,"A fund managed by the UTGSU to provide small grants for students in immediate financial need.",Scholarships
Are there scholarships for Law students?,"The 'Gambian Bar Association' and private law firms occasionally provide prizes and grants.",Scholarships
What is the 'Kavli' foundation grant?,"A specialized research grant sometimes available for students in the natural sciences.",Scholarships
How do I provide proof of financial need?,"Usually through an affidavit of means, parents' pay stubs, or a letter from a community leader.",Scholarships
What is the 'MoHERST' student loan?,"A government-backed loan scheme for students who do not qualify for a full scholarship.",Scholarships
Are there 'Sports' scholarships?,"UTG offers partial fee waivers for exceptional athletes who represent the university in national competitions.",Scholarships
What is the 'Islamic Development Bank' (IsDB) scholarship?,"A grant for students from member countries pursuing degrees in developmental fields.",Scholarships
How do I write a 'Scholarship Essay'?,"It should focus on your academic goals, financial situation, and how you intend to contribute to national development.",Scholarships
What is the 'Alumni Scholarship' fund?,"A scholarship funded by contributions from UTG graduates to support current students.",Scholarships
Do I need to be admitted before applying for a scholarship?,"Most scholarship providers require a 'Letter of Admission' as a prerequisite for application.",Scholarships
What is the 'Female Engineers' grant?,"A specific initiative to encourage more women to enter the School of Engineering and Architecture.",Scholarships
Can a scholarship be revoked for misconduct?,"Yes, violations of the university code of conduct can lead to the immediate termination of financial aid.",Scholarships
What is the 'Basse' community grant?,"A local scholarship specifically for students originating from the Upper River Region.",Scholarships
Are there scholarships for PhD students?,"Yes, MoHERST and international partners offer 'Faculty Development' grants for doctoral research.",Scholarships
What is the 'Fulbright' program?,"A US-funded exchange program for postgraduate students and faculty members.",Scholarships
Does the 'European Union' provide scholarships?,"The EU often funds regional programs like 'Erasmus+' for student exchange and Master's degrees.",Scholarships
What is the 'St. Mary's' scholarship?,"A historical partnership grant for students in specific humanities tracks.",Scholarships
How do I find out about new scholarships?,"Check the university notice boards, the 'Scholarships' tab on the UTG website, and local newspapers.",Scholarships
What is the 'Merit-Based' selection process?,"A system where scholarships are awarded solely on the basis of high WASSCE or CGPA scores.",Scholarships
Does 'Trust Bank' offer scholarships?,"Trust Bank often sponsors students in the School of Business and Public Administration.",Scholarships
What is the 'Hassoum Ceesay' history prize?,"A small scholarship prize awarded to the best student in the Department of History.",Scholarships
Can I transfer my scholarship to another program?,"This depends on the sponsor; most government scholarships are tied to the specific program originally approved.",Scholarships
What is the 'Master of Public Health' fellowship?,"A grant provided by the Ministry of Health for medical professionals pursuing advanced training.",Scholarships
Are there scholarships for the 'School of Education'?,"Yes, education students are often high priorities for government sponsorship to meet national teaching needs.",Scholarships
What is the 'Green Energy' scholarship?,"A specialized grant for students researching renewable energy in the Physics department.",Scholarships
Does 'Ecobank' provide financial aid?,"Ecobank occasionally offers internships and small grants to top finance students.",Scholarships
What is the 'Peace Corps' partnership?,"A collaborative effort that sometimes provides training and resources for students in rural development.",Scholarships
How do I get a recommendation letter for a scholarship?,"Request one from your HOD or a senior lecturer who is familiar with your academic work.",Scholarships
What is the 'Tanzania/Gambia' bilateral scholarship?,"An exchange program allowing students to pursue specialized medical training in Tanzania.",Scholarships
Are there grants for 'Study Abroad'?,"UTG's international relations office coordinates with partner universities for short-term travel grants.",Scholarships
What is the 'STEM' initiative scholarship?,"A government program to increase enrollment in Science, Technology, Engineering, and Math.",Scholarships
Does 'GTBank' offer any student awards?,"GTBank often recognizes the most 'Outstanding Graduating Student' with a significant cash prize.",Scholarships
What is the 'Banjul City Council' (BCC) scholarship?,"A local government grant for residents of Banjul attending UTG.",Scholarships
What is the 'Kanifing Municipal Council' (KMC) scholarship?,"A scholarship program for students residing within the Kanifing Municipality.",Scholarships
What is the 'Brikama Area Council' (BAC) scholarship?,"A grant for students from the West Coast Region.",Scholarships
Can I get a scholarship for 'Summer' school?,"Most standard scholarships do not cover summer sessions unless explicitly stated in the award letter.",Scholarships
What is the 'Certificate in Nursing' sponsorship?,"Government grants specifically for students entering mid-level healthcare professions.",Scholarships
Are there 'Language' grants?,"The French government occasionally offers scholarships for French majors to study in Senegal or France.",Scholarships
What is the 'African Union' scholarship?,"A continental program focusing on 'The Africa We Want' (Agenda 2063) research areas.",Scholarships
How do I appeal a scholarship rejection?,"Appeals must be directed to the specific scholarship board or the PMO, not the university itself.",Scholarships
What is the 'Corporate Sponsorship' program?,"When a private company pays for an employee or a student to attend UTG in exchange for future service.",Scholarships
Does 'Standard Chartered' offer scholarships?,"They have historically provided grants for students in banking and environmental studies.",Scholarships
What is the 'President's' award for excellence?,"A prestigious award given at graduation that includes a full scholarship for further studies.",Scholarships
What is the 'Distance Learning' grant?,"Small subsidies provided to help students cover the data and technology costs of online courses.",Scholarships
Are there 'Medical' scholarships for rural students?,"Yes, to encourage doctors and nurses to work in provincial areas after graduation.",Scholarships
What is the 'Creative Arts' grant?,"A rare but available grant for students in Journalism and Digital Media specializing in film or design.",Scholarships
How do I report a change in my financial status to my sponsor?,"Submit a formal letter to the scholarship board with supporting documents explaining the change.",Scholarships
What is the 'Faculty of Law' scholarship?,"Private legal practitioners sometimes sponsor the tuition of the top Law student each year.",Scholarships
Are there grants for 'Gender Research'?,"International NGOs often provide funding for students researching women's rights and gender issues.",Scholarships
What is the 'Data Science' fellowship?,"A 2026 initiative to support students specializing in high-level data analysis and AI.",Scholarships
Can I use scholarship funds for 'Housing'?,"Only if your scholarship is 'Fully-Funded' and includes a specific living allowance or stipend.",Scholarships
What is the 'Transparency International' scholarship?,"Occasionally available for students in Public Administration focusing on anti-corruption.",Scholarships
Does the 'Central Bank of The Gambia' sponsor students?,"Yes, particularly for advanced degrees in Economics, Finance, and Statistics.",Scholarships
What is the 'Young African Leaders Initiative' (YALI)?,"A program that UTG students often join which provides leadership training and networking.",Scholarships
Are there 'Entrepreneurship' grants?,"The university's Innovation Hub provides small seed grants for student-led business projects.",Scholarships
