question,answer,category
"Where is the main campus of UTG in 2026?","The main administrative and academic hub is the Faraba Banta Campus, located in the West Coast Region.",Locations
"Which schools are located at Faraba Banta Lot 1?","Lot 1 houses the Schools of Business & Public Administration, ICT, Education, and Arts & Sciences.",Locations
"What is located at Faraba Banta Lot 2?","Lot 2 includes the Chancery (Administrative Building), the Faculty of Law, and the School of Agriculture.",Locations
"Where is the School of Medicine and Allied Health Sciences?","It is primarily based in Banjul, integrated with the Edward Francis Small Teaching Hospital (EFSTH).",Locations
"What is the 'Alieu Badara Joof' building?","It is the ultra-modern central library located at the Faraba Banta Campus, named after the late Vice President.",Locations
"Does UTG still use the Kanifing Campus?","Yes, Kanifing remains a vital hub for the School of Journalism, the School of Graduate Studies, and the Finance Office.",Locations
"Where is the Office of the Vice Chancellor located?","The Vice Chancellor’s office is situated within the Chancery Building at the Faraba Banta Campus.",Locations
"What is the Farafenni Campus used for?","The Farafenni Campus (formerly an MRC site) serves as a research hub for Agriculture and Community Medicine.",Locations
"Where can I find the University Clinic?","The main student clinic is located at the Faraba Banta Campus, with a secondary unit at the Banjul medical site.",Locations
"Where is the 'Digital Square' located?","The Digital Square, which houses the ICT helpdesk and innovation labs, is located at the Kanifing Campus.",Locations
"Is there a campus in Brikama?","While many programs moved to Faraba, Brikama still hosts specialized teacher training workshops and extension services.",Locations
"Where do Law students attend lectures?","Law students are now based at the specialized Faculty of Law building within Lot 2 of the Faraba Banta Campus.",Locations
"Where is the 'Peace Building' located?","The Peace Building is a landmark structure at the Kanifing Campus housing the School of Graduate Studies.",Locations
"How do I get to the Faraba Banta Campus?","The campus is accessible via the South Bank Road, approximately 40 minutes from the Serrekunda area.",Locations
"Where is the Directorate of Research and Consultancy?","It is headquartered at the Kanifing Campus to facilitate proximity to international partners and government agencies.",Locations
"Which location handles transcript requests?","Official transcripts are processed at the Exams and Records office located at the Kanifing Campus.",Locations
"Where is the UTG/WASCAL center?","The WASCAL center for Climate Change is located at the Faraba Banta Campus, near the School of Agriculture.",Locations
"Does the Banjul campus have student labs?","Yes, the Banjul site features advanced anatomy, pathology, and medical laboratory science labs.",Locations
"Where is the 'MDI Road' campus?","MDI Road in Kanifing is the site of the original UTG administration and currently houses the School of Journalism.",Locations
"Are there student dormitories at Faraba Banta?","Yes, the 2026 expansion includes on-campus residential halls for both domestic and international students.",Locations
"Where is the University Auditorium?","The main multi-purpose auditorium for major events is located within the Faraba Banta library complex.",Locations
"Where is the Science Lab complex?","The Division of Physical and Natural Sciences operates high-tech laboratories in Lot 1 of the Faraba Banta Campus.",Locations
"Is there an ATM on campus?","Yes, Trust Bank and GTBank maintain ATM galleries at the entrance of the Faraba Banta Campus.",Locations
"Where do I submit scholarship forms?","Forms are typically submitted to the Financial Aid office at the Kanifing Campus or the MoHERST office nearby.",Locations
"Where is the 'Chancery' building?","The Chancery is the central administrative tower at the Faraba Banta Campus Lot 2.",Locations
"What is the distance between Kanifing and Faraba?","The two campuses are approximately 35 kilometers apart, connected by the main highway.",Locations
"Where is the School of Engineering located?","It is currently based at the Faraba Banta Campus, sharing facilities with the architectural studios.",Locations
"Where is the 'MRC Holland' building?","The foundation has funded several blocks, most notably at the Faraba Banta and Brikama campus sites.",Locations
"Where is the Admission Office for new students?","The central Admission Office is located at the Kanifing Campus, though help desks are available at Faraba.",Locations
"Does UTG have an office in Basse?","The university maintains a regional liaison presence in Basse to assist students from the Upper River Region.",Locations
