question,answer,category
What is the MOHERST Scholarship?,"It is a merit-based funding program provided by the Ministry of Higher Education, Research, Science and Technology for Gambian students.",Scholarships
How do I apply for the MRC Holland Foundation scholarship?,"Eligible Grade 12 graduates can apply by submitting a completed application form to the MRC Holland office in Brusubi or regional education offices.",Scholarships
What is the "UTG Excellence Award" scholarship?,"A specialized MoHERST scholarship awarded to the top 10 outstanding graduates of the university to pursue further postgraduate studies.",Scholarships
Does WASCAL provide scholarships for UTG students?,"Yes, WASCAL offers fully-funded PhD and Master’s scholarships specifically for research in Climate Change and Education.",Scholarships
Are there scholarships for students from rural schools?,"Yes, the MRC Holland Foundation gives priority to students graduating from rural Senior Secondary Schools in The Gambia.",Scholarships
What does a full scholarship usually cover at UTG?,"A full scholarship typically covers 100% of tuition fees, and in some cases, provides a monthly stipend and book allowance.",Scholarships
Is the "Access Programme" eligible for scholarship funding?,"Most external scholarships target degree programs, but MoHERST occasionally provides bursaries for remedial students based on financial need.",Scholarships
Can international students apply for Gambian government scholarships?,"Generally, MoHERST scholarships are reserved for Gambian citizens, but international students may apply for OIC or IsDB scholarships.",Scholarships
What is the minimum CGPA required for a MoHERST scholarship?,"While it varies by year, a minimum CGPA of 3.00 is usually required for continuing students to be considered for funding.",Scholarships
"Do I need an admission letter before applying for a scholarship?","Yes, most sponsors like the Personnel Management Office (PMO) and MoHERST require a valid UTG admission letter as a prerequisite.",Scholarships
What is the "IsDB Scholarship Program"?,"A scholarship from the Islamic Development Bank that supports students from OIC member states, including The Gambia, in science and technology.",Scholarships
Does the Mastercard Foundation offer scholarships at UTG?,"UTG works with various partners to identify Mastercard Foundation Scholars, focusing on high-achieving students from underrepresented backgrounds.",Scholarships
How are scholarship awardees notified?,"Successful applicants are typically notified via official letters, SMS alerts, or their names are published on the MoHERST or UTG notice boards.",Scholarships
What is the role of the "Personnel Management Office" (PMO) in scholarships?,"The PMO coordinates scholarships for civil servants who wish to upgrade their qualifications at UTG while in service.",Scholarships
Can I hold two scholarships at the same time?,"No, most scholarship policies at UTG strictly prohibit 'double-sponsorship'; students must choose one and notify the university.",Scholarships
What is the "OIC Scholarship" for Gambian students?,"A program facilitated by the Organization of Islamic Cooperation for study in fields like Engineering, Medicine, and Information Technology.",Scholarships
"Are there specific scholarships for female students?","Yes, many international donors like WASCAL and the Mastercard Foundation highly encourage and prioritize female applicants.",Scholarships
What is a "Bursary" versus a "Scholarship"?,"A scholarship is usually merit-based (high grades), while a bursary is primarily need-based (financial hardship).",Scholarships
How do I apply for the "Social Venture Challenge" funding?,"This is an entrepreneurial grant available to Mastercard Foundation Scholars to fund community-impact projects.",Scholarships
Does the Gambia Teachers Union (GTU) provide scholarships?,"Yes, the GTU Credit Union often provides study loans and bursaries for members and their children studying at the School of Education.",Scholarships
What is the deadline for MoHERST scholarship applications?,"Deadlines are usually announced annually on the MoHERST website and local newspapers, often following the university admission cycle.",Scholarships
"Can I lose my scholarship?","Yes, scholarships can be revoked if a student fails to maintain a minimum CGPA (usually 2.50 or 3.00) or violates university conduct codes.",Scholarships
Is there a scholarship for students with disabilities?,"Yes, the MRC Holland Foundation and other local NGOs provide dedicated support for students with physical disabilities.",Scholarships
What is the "German Federal Ministry (BMBF)" scholarship at UTG?,"It is the funding body behind the WASCAL Doctoral program in Climate Change and Education.",Scholarships
Does UTG offer internal "Work-Study" scholarships?,"Yes, the Dean of Students office manages a work-study program where students can work on campus to offset their tuition costs.",Scholarships
