question,answer,category
What is the annual tuition fee for the School of Arts and Sciences in 2026?,"The annual tuition fee for Gambian students in this school is GMD 34,900.",Tuition & Fees
How much is the undergraduate application fee for the 2025/2026 academic year?,"The application fee is GMD 1,100.00 for all undergraduate programs.",Tuition & Fees
What is the cost of a Master's degree application?,"The application fee for Master's programs is GMD 750.00.",Tuition & Fees
What is the fee for a PhD application at UTG?,"The application fee for PhD programs is GMD 1,000.00.",Tuition & Fees
Are there additional mandatory fees besides tuition?,"Yes, students pay an annual fee of GMD 1,200 covering Union, Development, Technology, and Library fees.",Tuition & Fees
What is the tuition fee for the School of Education for local students?,"The annual tuition for Gambian students in the School of Education is GMD 31,800.",Tuition & Fees
How much do international students pay for the School of Education?,"International students pay an annual tuition fee of $3,750 (approximately GMD 225,000).",Tuition & Fees
What is the '40% Rule' for registration?,"Students must pay at least 40% of their total semester fees to gain portal access for registration.",Tuition & Fees
Which banks accept UTG fee payments?,"Payments can be made at any branch of Trust Bank, GTBank, or EcoBank.",Tuition & Fees
Is there a fee for result verification during application?,"The GMD 1,100 application fee typically includes the cost of result verification and other processing fees.",Tuition & Fees
What is the deadline for second semester 2025/2026 application payments?,"The deadline for bank payments is usually a few days before the final application close date, such as January 22nd 2026.",Tuition & Fees
Can I pay my tuition fees in installments?,"Yes, tuition fees can be paid in two equal installments at the beginning of each semester.",Tuition & Fees
Is the application fee refundable?,"No, the application fee is non-refundable regardless of the admission outcome.",Tuition & Fees
What is the penalty for late tuition payment?,"Late payments may result in the loss of portal access, library privileges, and a late registration fine.",Tuition & Fees
How do I confirm my payment on the student portal?,"You must present your bank receipt to the University Chief Accountant or upload it to the portal for reconciliation.",Tuition & Fees
What is the 'Technology Fee' used for?,"It funds campus-wide Wi-Fi, maintenance of computer labs, and the student portal infrastructure.",Tuition & Fees
Is there a graduation fee for final year students?,"Yes, a convocation fee is charged to cover the gown rental, certificate processing, and ceremony costs.",Tuition & Fees
How much is the fee for an official transcript request?,"There is a standard administrative fee, usually ranging from D500 to D1000, for processing official transcripts.",Tuition & Fees
Are science-based programs more expensive than arts programs?,"Generally, yes; programs in Medicine and Engineering have higher tuition due to laboratory and clinical costs.",Tuition & Fees
What is the cost of the 'Access Program'?,"The Access Program has a separate fee structure, usually lower than a full degree program, announced during the call for applications.",Tuition & Fees
Do international students pay in Dalasis or US Dollars?,"International students are typically required to pay their fees in US Dollars.",Tuition & Fees
What is the 'Student Union Fee'?,"A mandatory annual contribution of GMD 300 included in the administrative fee to fund student government activities.",Tuition & Fees
Is there a fee for changing my major?,"Yes, a small administrative fee is charged for processing a change of program request after admission.",Tuition & Fees
What happens if I overpay my fees?,"Overpayments are credited to your account for the next semester or can be refunded upon formal request.",Tuition & Fees
Does the university charge for ID card replacement?,"Yes, while the first ID card is free, a replacement fee is charged if the card is lost or damaged.",Tuition & Fees
Are there fees for summer session courses?,"Yes, summer courses are charged per credit hour and are not covered by the regular annual tuition.",Tuition & Fees
Is the 'Development Fee' a one-time payment?,"No, the Development Fee is a mandatory part of the annual administrative charges paid every year.",Tuition & Fees
How do I pay if I am an international student outside The Gambia?,"International students can use SWIFT wire transfers to the university's foreign currency accounts.",Tuition & Fees
What is the fee for the 'Attestation Letter'?,"The administrative fee for a letter of completion or attestation is typically between D200 and D500.",Tuition & Fees
Are there any hidden costs in the tuition schedule?,"The university aims for transparency; however, students should budget for textbooks, stationery, and field trips.",Tuition & Fees
Is medical insurance included in the tuition?,"No, students are responsible for their own medical expenses, though the campus clinic provides basic care.",Tuition & Fees
