question,answer,category
What is the duration of the LLB program?,"The Bachelor of Laws (LLB) is a four-year full-time program, though it may take longer for part-time students.",Programs
Does UTG offer a Master of Science in Information Technology?,"Yes, the School of ICT offers an MSc in IT with specializations in Data Science and Network Security.",Programs
What is the "Access Programme"?,"It is a one-year remedial program designed to help students transition into full degree programs by upgrading their WASSCE results.",Programs
Can I study Pharmacy at UTG?,"Yes, the university offers a Bachelor of Pharmacy (B.Pharm) and a Technical Diploma in Pharmacy.",Programs
What specializations are available in the BSc Computer Science?,"Students can specialize in Software Engineering, Cybersecurity, or Data Communication and Networking.",Programs
Does the university offer a PhD in History?,"Yes, the School of Arts and Sciences offers a research-based PhD in History and African Studies.",Programs
Is there a Diploma in Data Science?,"Yes, UTG offers a one-year professional diploma focusing on Python, SQL, and data visualization.",Programs
What is the curriculum focus of the BSc in Information Systems?,"It focuses on the bridge between technology and business, covering database management, ERP systems, and IT project management.",Programs
Does UTG offer a degree in Journalism?,"Yes, the School of Journalism and Digital Media offers a Bachelor’s degree in Journalism and Media Studies.",Programs
What are the requirements for the MSc in Economics?,"Applicants must have a first degree in Economics or a related field with a minimum CGPA of 3.00.",Programs
Is there a program for Artificial Intelligence?,"UTG offers a professional Diploma in Artificial Intelligence and modules within the BSc Computer Science program.",Programs
Does the university offer a degree in Agriculture?,"Yes, the School of Agriculture and Environmental Sciences offers a BSc in General Agriculture.",Programs
What is the focus of the Master’s in International Relations?,"The program covers global diplomacy, international law, and conflict resolution strategies.",Programs
Can I get a Diploma in Cyber Security?,"Yes, it is a specialized technical program offered by the School of ICT to address the growing need for security experts.",Programs
Does UTG offer a BSc in Nursing?,"Yes, the School of Medicine and Allied Health Sciences offers a comprehensive four-year Nursing program.",Programs
What is the "Fullstack Web Development" diploma?,"A practical, project-based program covering both front-end and back-end web technologies.",Programs
Are there any programs for Public Health?,"Yes, UTG offers both a Bachelor’s and a Master’s in Public Health (MPH).",Programs
Does the university offer a PhD in Economics?,"Yes, the School of Business and Public Administration provides a PhD program with a focus on Applied Economics.",Programs
What is the BSc in Telecommunications program?,"It focuses on mobile communication, satellite systems, and digital signal processing.",Programs
Is there a degree in Christian Religious Studies?,"Yes, it is offered as a major or minor within the School of Arts and Sciences.",Programs
What is the duration of the BSc in Agriculture?,"The standard duration is four years, with students specializing in crops or animal production in their final year.",Programs
Does UTG offer a Bachelor of Dental Surgery (BDS)?,"Yes, the School of Medicine and Allied Health Sciences offers a full BDS program for aspiring dentists.",Programs
What are the requirements for the BSc in Nursing?,"Applicants must have 5 WASSCE credits, including English, Math, Biology, Chemistry, and Physics.",Programs
Can I study Islamic Finance at UTG?,"Yes, the School of Business and Public Administration offers a specialized BSc in Islamic Finance.",Programs
What is the "Diploma in Climate Action"?,"A professional diploma focusing on climate policy, environmental governance, and community-based resilience.",Programs
Does the School of Education offer a B.Ed in French?,"Yes, the school prepares secondary school teachers with a Bachelor of Education specializing in French.",Programs
What graduate programs are available in Economics?,"UTG offers both a Master of Science (MSc) and a PhD in Economics.",Programs
Can I transfer from MAJaC to the School of Journalism?,"Yes, Advanced Diploma graduates from MAJaC are eligible for a one-year course waiver at UTG's SJDM.",Programs
What is the focus of the BSc in Marketing?,"The program equips students with skills in market research, digital marketing, and strategic brand management.",Programs
Does UTG have a program for Public Administration?,"Yes, it offers Public Administration at the Bachelor's (B.A.), Master's (MSc/MPA), and Doctoral (Ph.D.) levels.",Programs
What is the entry requirement for the MBChB program?,"A minimum of 5 credits in core sciences, with high grades (As and Bs) significantly improving admission chances.",Programs
Does the university offer a degree in Tourism?,"Yes, the B.A. in Tourism and Hospitality Management is available under the School of Business.",Programs
Is there a Master’s program in Nursing?,"Yes, the School of Graduate Studies offers a Master of Nursing for advanced clinical practice.",Programs
What specializations exist in the B.Ed program?,"Specializations include Math, Physics, English, Geography, History, Arabic, French, Biology, and Chemistry.",Programs
What is the BSc in Community Building and Design?,"It is a unique program under the School of Engineering and Architecture focusing on urban planning and design.",Programs
Does UTG offer a BSc in Environmental Science?,"Yes, the program covers ecology, resource management, and sustainable environmental practices.",Programs
What is the "Post Graduate Diploma in Education" (PGDE)?,"A one-year program at the Brikama Campus for university graduates who wish to enter the teaching profession.",Programs
Can I study Banking and Finance at UTG?,"Yes, the BSc in Banking and Finance prepares students for careers in the national and international financial sectors.",Programs
Does the university offer a BSc in Medical Laboratory Science?,"Yes, the BSc (Hons) in Medical Laboratory Science is a key program in the School of Allied Health.",Programs
What is the "Technical and Vocational Education" (TVET) track?,"Practical, hands-on courses designed for industry-specific skills, particularly in agriculture and technology.",Programs
What is the focus of the BSc in Political Science?,"The program explores political theory, international relations, and Gambian government and politics.",Programs
Does the university offer a Master’s in Public Health (MPH)?,"Yes, the MPH is a popular graduate program focusing on epidemiology and health policy.",Programs
Can I get a degree in Mathematics?,"Yes, the School of Arts and Sciences offers a BSc in Mathematics for research and education tracks.",Programs
What is the "Diploma in Networking and Cloud Computing"?,"A technical program covering virtualization, AWS platforms, and secure network architecture.",Programs
Is there a BSc in Human Resource Management?,"Yes, the program focuses on organizational culture, talent development, and strategic people management.",Programs
Does UTG offer a program in Gender Studies?,"Yes, Development Studies and Gender Studies are key areas within the School of Arts and Sciences.",Programs
What are the requirements for 'Direct Entry' into Medicine?,"Candidates with a relevant first degree may be considered for entry directly into the 200 level of the MBChB program.",Programs
Is there a Master’s in Accounting and Finance?,"Yes, this program is designed for professionals aiming for senior roles in the financial sector.",Programs
Does the School of ICT offer a Diploma in Web Development?,"Yes, the Fullstack Web Development diploma covers React, Node.js, and MongoDB.",Programs
What is the duration of the Diploma in Tourism?,"The professional diploma is typically a two-year program focusing on practical industry skills.",Programs
"What degrees are offered by the School of Arts & Sciences?",The school offers B.A. degrees in English French Islamic Studies Christian Religious Studies History Development Studies and Geography and BSc degrees in Political Science Psychology Biology Mathematics Chemistry and Physics.,Programs
Does UTG have a Bachelor of Science in Accountancy?,"Yes, the School of Business and Public Administration offers a professionally driven BSc in Accountancy developed for both public and private sectors.",Programs
