question,answer,category
What is the annual tuition fee for the School of Arts and Sciences?,"The annual tuition fee is GMD 34,900 for Gambian students and $3,750 for international students.",Fees
How much are the mandatory annual non-tuition fees?,"Students must pay a total of GMD 1,200 annually, which covers Union, Development, Technology, and Library fees.",Fees
What is the minimum payment required to register for courses?,"Students are required to pay at least 40% of their total semester fees to be granted access to the portal for registration.",Fees
"Can I pay my fees in installments?",Yes fees are payable in installments provided the minimum 40% threshold is met before the end of the registration period.,Fees
What is the undergraduate application fee for 2026?,"The application fee is D1,100.00, which includes the cost of the application form and result verification.",Fees
How much is the result verification fee per result?,The result verification fee is currently D600.00 for each result submitted for authentication.,Fees
"What are the approved banks for UTG fee payments?","Payments can be made at any branch of Trust Bank, EcoBank, or Guaranty Trust Bank (GTBank) nationwide.",Fees
"Does UTG accept credit card payments?","Direct credit card payments are not typically supported; payments must be made via bank deposit or transfer to university accounts.",Fees
What is the tuition fee for the School of Education?,"Tuition for the School of Education is GMD 31,800 per year for local students and $3,750 for international students.",Fees
Is there a penalty for late registration?,"Yes, a late registration fine is applied to students who register after the official deadline, usually set by the Finance Directorate.",Fees
How much is the transcript request fee for 2026?,"The fee for an official academic transcript is D1,000 for local delivery and varies for international courier services.",Fees
Are international students required to pay in Dalasi?,No international students are generally required to pay their tuition and application fees in US Dollars ($).,Fees
What is the fee for the Diploma in Tourism and Hospitality Management?,"The total program fee for this specific diploma at the School of Business is D25,000.",Fees
Do I have to pay the Technology fee every semester?,"The GMD 1,200 'Other Fees' bundle is typically an annual charge, though it may be split across two semesters.",Fees
Is the application fee refundable if I am not admitted?,No all application and verification fees are strictly non-refundable regardless of the admission decision.,Fees
What happens if I overpay my fees?,"Overpayments are credited to the student's account and carried forward to the next semester or academic year.",Fees
How can I get a statement of my financial account?,"Students can view their fee balance and payment history through the 'Finance' tab on the UTG student portal.",Fees
Does the university provide a tuition fee waiver for staff?,"UTG staff may be eligible for partial or full tuition waivers for themselves or their dependents, subject to Human Resources policy.",Fees
